
[0057]  [001]  []  []

-Z//t/1	  {ΓΑΛΗΝΟΥ ΠΡΟΤΡΕΠΤΙΚΟΣ ΕΠ ΙΑΤΡΙΚΗΝ.} 
-Z//1/1	  Εἰ μὲν μηδ' ὅλως λόγου μέτεστι τοῖς ἀλόγοις ὀνο-
-Z//1/2	μαζομένοις ζῴοις ἄδηλόν ἐστιν. ἴσως γὰρ εἰ καὶ μὴ τοῦ κατὰ τὴν φωνήν, ὃν 
-Z//1/3	καὶ προφορικὸν ὀνομάζουσιν, ἀλλὰ τοῦ γε 〈κατὰ〉 τὴν ψυχήν, ὃν ἐνδιάθετον 
-Z//1/4	καλοῦσι, μετέχει πάντα, τὰ μὲν μᾶλλον τὰ δ' ἧττον. ὅτι μέντοι πλεῖστον ὅσον αὐτῶν 
-Z//1/5	διενηνόχασιν οἱ ἄνθρωποι, πρόδηλον ἡμῖν ἐστιν ὁρῶσι τό τε πλῆθος τῶν τεχνῶν 
-Z//1/6	ὧν μεταχειρίζεται τὸ ζῷον τοῦτο καὶ ὅτι μόνος ἅνθρωπος ἐπιστήμης ἐπιδεκτικὸς 
-Z//1/7	ἣν ἂν ἐθελήσῃ τέχνην μανθάνει. τὰ μὲν γὰρ ἄλλα ζῷα σχεδὸν ἄτεχνα πάντ' ἐστὶ 
-Z//1/8	πλὴν ὀλίγων δή τινων ἐν ὀλίγοις· ἀλλὰ καὶ ταῦτα φύσει μᾶλλον ἢ προαιρέσει 
-Z//1/9	τεχνῶν εὐτύχηκεν· ὁ δ' ἄνθρωπος οὔτε τινὸς τῶν παρ' ἐκείνοις ἀμελέτητος, εἴ 
-Z//1/10	γε καὶ τὴν ὑφαντικὴν ἐμιμήσατο τὰς ἀράχνας καὶ πλάττει καθάπερ αἱ μέλισσαι 
-Z//1/11	καὶ τοῦ νεῖν οὐκ ἀνάσκητός ἐστι καίτοι πεζὸς ὤν, ἀλλὰ καὶ τῶν θείων τεχνῶν 
-Z//1/12	οὐκ ἀπολείπεται, ζηλῶν μὲν τὴν Ἀσκληπιοῦ τέχνην ἰατρικήν, ζηλῶν δ' Ἀπόλλω-
-Z//1/13	νος αὐτήν τε ταύτην καὶ τὰς ἄλλας ἁπάσας ἃς ἔχει, τοξικὴν μουσικὴν μαντικήν, 
-Z//1/14	ἔτι τε τῶν Μουσῶν τὴν ἑκάστης ἰδίαν. οὐδὲ γὰρ γεωμετρίας οὐδ' 
-Z//1/15	ἀστρονομίας ἀφίσταται, ἀλλὰ καὶ τὰ τῆς γῆς νέρθεν καὶ τὰ ὕπερθε τοῦ οὐρανοῦ 
