
[0057]  [009]  []  []

-Z/1/509/t1	    {ΓΑΛΗΝΟΥ ΠΕΡΙ ΚΡΑΣΕΩΝ} 
-Z/1/509/t2	          {ΒΙΒΛΙΟΝ ΠΡΩΤΟΝ} 
-Z/1/509/1	  Ὅτι μὲν ἐκ θερμοῦ καὶ ψυχροῦ καὶ ξηροῦ 
-Z/1/509/2	καὶ ὑγροῦ τὰ τῶν ζῴων σώματα κέκραται καὶ ὡς οὐκ ἴση 
-Z/1/509/3	πάντων ἐστὶν ἐν τῇ κράσει μοῖρα, παλαιοῖς ἀνδράσιν ἱκανῶς 
-Z/1/509/4	ἀποδέδεικται φιλοσόφων τε καὶ ἰατρῶν τοῖς ἀρίστοις· εἴρηται 
-Z/1/509/5	δὲ καὶ πρὸς ἡμῶν ὑπὲρ αὐτῶν τὰ εἰκότα δι' ἑτέρου γράμ-
-Z/1/509/6	ματος, ἐν ᾧ περὶ τῶν καθ' Ἱπποκράτην στοιχείων ἐσκοπού-
-Z/1/509/7	μεθα. νυνὶ δ', ὅπερ ἐστὶν ἐφεξῆς ἐκείνῳ, ἁπάσας ἐξευρεῖν 
-Z/1/509/8	τῶν κράσεων τὰς διαφοράς, ὁπόσαι τ' εἰσὶ καὶ ὁποῖαι κατ' 
-Z/1/510/1	εἴδη τε καὶ γένη διαιρουμένοις, ἐν τῷδε | τῷ γράμματι δί-
-Z/1/510/2	ειμι τὴν ἀρχὴν ἀπὸ τῆς τῶν ὀνομάτων ἐξηγήσεως ποιησά-
-Z/1/510/3	μενος. ἐπειδὰν μὲν γὰρ ἐκ θερμοῦ καὶ ψυχροῦ καὶ ξηροῦ 
-Z/1/510/4	καὶ ὑγροῦ κεκρᾶσθαι λέγωσι τὰ σώματα, τῶν ἄκρως τοιού-
-Z/1/510/5	των ἀκούειν φασὶ χρῆναι, τουτέστι τῶν στοιχείων αὐτῶν, 
-Z/1/510/6	ἀέρος καὶ πυρὸς καὶ ὕδατος καὶ γῆς· ἐπειδὰν δὲ ζῷον ἢ 
-Z/1/510/7	φυτὸν ἤτοι θερμὸν ἢ ψυχρὸν ἢ ξηρὸν ἢ ὑγρὸν εἶναι λέγω-
-Z/1/510/8	σιν, οὐκέθ' ὡσαύτως. οὐδὲ γὰρ δύνασθαι ζῷον οὐδὲν οὔτ' 
-Z/1/510/9	ἄκρως θερμὸν ὑπάρχειν ὡς πῦρ οὔτ' ἄκρως ὑγρὸν ὡς ὕδωρ. 
-Z/1/510/10	ὡσαύτως δ' οὐδὲ ψυχρὸν ἢ ξηρὸν ἐσχάτως, ἀλλ' ἀπὸ τοῦ 
-Z/1/510/11	πλεονεκτοῦντος ἐν τῇ κράσει γίγνεσθαι τὰς προσηγορίας, 
-Z/1/510/12	ὑγρὸν μὲν καλούντων ἡμῶν, ἐν ᾧ πλείων ὑγρότητός ἐστι  
-Z/1/510/13	μοῖρα, ξηρὸν δ', ἐν ᾧ ξηρότητος· οὕτω δὲ καὶ θερμὸν μέν, 
-Z/1/510/14	ἐν ᾧ τὸ θερμὸν τοῦ ψυχροῦ πλεονεκτεῖ, ψυχρὸν δ', ἐν ᾧ 
-Z/1/510/15	τὸ ψυχρὸν τοῦ θερμοῦ. αὕτη μὲν ἡ τῶν ὀνομάτων χρῆσις. 
-Z/1/510/16	  Ὥρα δ' ἂν εἴη λέγειν ἤδη καὶ περὶ τῶν κρά-
-Z/1/510/17	σεων αὐτῶν. ἡ μὲν δὴ πλείστη δόξα τῶν ἐπιφανεστάτων 
-Z/1/511/1	ἰατρῶν τε καὶ φιλοσόφων, ὑγράν τ' εἶναι καὶ θερ|μὴν 
-Z/1/511/2	κρᾶσιν, ἑτέραν τῆς ὑγρᾶς τε καὶ ψυχρᾶς, καὶ τρίτην ἐπὶ 
-Z/1/511/3	ταύταις τὴν ξηράν τε καὶ ψυχράν, ἑτέραν τῆς ξηρᾶς θ' 
-Z/1/511/4	ἅμα καὶ θερμῆς. ἔνιοι δ' ἐξ αὐτῶν ὑγρὰν μέν τινα καὶ 
-Z/1/511/5	ψυχρὰν ἅμα κρᾶσιν ὑπάρχειν φασὶ καὶ θερμὴν ἅμα καὶ 
-Z/1/511/6	ξηρὰν ἑτέραν, οὐ μὴν οὔτε τὴν θερμὴν ἅμα καὶ ὑγρὰν 
-Z/1/511/7	οὔτε τὴν ψυχρὰν ἅμα καὶ ξηράν. οὐδὲ γὰρ ἐγχωρεῖν οὔθ' 
-Z/1/511/8	ὑγρότητα πλεονεκτούσῃ θερμότητι συνδραμεῖν οὔτε ξηρότητα 
-Z/1/511/9	ψυχρότητι. δαπανᾶσθαι μὲν γὰρ ὑπὸ τοῦ θερμοῦ κρατοῦντος 
-Z/1/511/10	τὴν ὑγρότητα καὶ οὕτω θερμὸν ἅμα καὶ ξηρὸν γίγνεσθαι 
-Z/1/511/11	τὸ σῶμα, μένειν δ' ἄπεπτόν τε καὶ ἀκατέργαστον, ἐν οἷς ἂν 
-Z/1/511/12	σώμασιν ἀρρωστῇ τὸ θερμόν, ὥστ' ἀναγκαῖον εἶναι θερμό-
-Z/1/511/13	τητος μὲν ἐπικρατούσης ἕπεσθαι ξηρότητα, ψυχρότητος δὲ 
-Z/1/511/14	πλεονεκτούσης ἀκολουθεῖν ὑγρότητα. οὗτοι μὲν δὴ κατὰ 
-Z/1/511/15	τάδε πεπείκασι σφᾶς αὐτούς, ὡς δύο εἰσὶν αἱ πᾶσαι δια-
-Z/1/511/16	φοραὶ τῶν κράσεων. 
