
[0057]  [025]  []  []

-Z/4/750/t	      {ΓΑΛΗΝΟΥ ΠΕΡΙ ΕΥΕΞΙΑΣ.} 
-Z/4/750/1	  Τὸ τῆς ἕξεως ὄνομα κατὰ παντὸς ἐπιφέρειν εἰθίσμεθα 
-Z/4/750/2	τοῦ μονίμου τε καὶ δυσλύτου καὶ οὐδὲν μᾶλλον ἐπαινοῦντες 
-Z/4/750/3	ἢ ψέγοντες. ἀλλ' ὅταν εὐεξίαν ἢ καχεξίαν εἴπωμεν, ἤδη 
-Z/4/750/4	τηνικαῦτα διοριζόμεθ', ὁποίαν τινὰ τὴν ἕξιν εἶναί φαμεν. 
-Z/4/750/5	ἀγαθὴ μὲν οὖν ἁπλῶς ἕξις ἐν ἀρίστῃ κατασκευῇ γίνεται  
-Z/4/750/6	σώματος, οὐχ ἁπλῶς δὲ καθ' ἑκάστην φύσιν σώματος. ἡ 
-Z/4/751/1	μέντοι καχεξία περὶ πᾶσαν συνίσταται ‖ κατασκευὴν σώματος, 
-Z/4/751/2	εἴθ' ἁπλῶς εἴτ' ἐν τῷ πρός τι λέγοιτο. χρὴ τοίνυν ἀνα-
-Z/4/751/3	μνησθῆναι τῶν περὶ τῆς ἀρίστης κατασκευῆς εἰρημένων 
-Z/4/751/4	ἰδίᾳ τὸν βουλόμενον ἀκριβῶς ἐπιγνῶναι, τί ποτ' ἐστὶν ἁπλῶς 
-Z/4/751/5	[εἰπεῖν] εὐεξία. πλάτος γὰρ ἱκανὸν ἐχούσης τῆς ὑγιείας, ὡς 
-Z/4/751/6	πολλάκις ἐν ἑτέροις ἐπιδέδεικται, τὴν μὲν ἐπίτασιν αὐτῆς 
-Z/4/751/7	εὐεξίαν ὀνομάζουσιν οἱ παλαιοὶ φιλόσοφοί τε καὶ ἰατροί, 
-Z/4/751/8	τὴν δ' ἔκλυσιν ἰδίῳ μὲν οὐκέτι προσαγορεύουσιν ὀνόματι, 
-Z/4/751/9	τῷ δὲ τοῦ παντὸς γένους ὡσαύτως ὑγίειαν καλοῦσιν, ὥστ' 
-Z/4/751/10	ἀρίστη τις ὑγίεια ἡ εὐεξία, καὶ διὰ τοῦτ' ἐν τοῖς ἄριστα 
-Z/4/751/11	κατεσκευασμένοις γίνεται σώμασιν. εἰ γάρ τι μὴ τοιοῦτον, 
-Z/4/751/12	οὐκ ἂν δέξαιτο τὴν ἀρίστην ὑγίειαν, ὥστ' οὐδὲ τὴν εὐεξίαν. 
-Z/4/751/13	ἡ δ' ἐν τῷ πρός τι κατὰ τὴν ἑκάστου φύσιν γίνεται καὶ διὰ 
-Z/4/751/14	τοῦτο μετὰ προσθήκης λέγεται Δίωνος, εἰ οὕτως ἔτυχεν, ἢ 
-Z/4/751/15	Μίλωνος εὐεξία, οὐχ ἁπλῶς εὐεξία. ἡ μέν γε [τοῦ Μίλωνος 
-Z/4/751/16	καὶ ἡ] τοῦ Ἀχιλλέως καὶ ἡ τοῦ Ἡρακλέους ἁπλῶς τ' εἰσὶν 
-Z/4/751/17	εὐεξίαι καὶ χωρὶς προσθήκης ὀνομάζονται, καθάπερ καὶ ‖ 
-Z/4/752/1	καλὸς μὲν ὁ Ἀχιλλεὺς ἁπλῶς, ὁ δὲ πίθηκος οὐχ ἁπλῶς, 
-Z/4/752/2	ἀλλ' ὡς πίθηκος καλός. ἐκ τῶν μετὰ προσθήκης ἐστὶ 
-Z/4/752/3	λεγομένων καὶ ἡ τῶν ἀθλητῶν εὐεξία καὶ δεόντως ὑπὲρ 
-Z/4/752/4	αὐτῆς ὁ Ἱπποκράτης ἔλεγεν· „Ἐν τοῖσι γυμναστικοῖσιν αἱ  
-Z/4/752/5	ἐπ' ἄκρον εὐεξίαι σφαλεραί.” οὐ γὰρ δὴ τήν γ' ἁπλῶς 
-Z/4/752/6	ὀνομαζομένην εὐεξίαν, ἐπειδὰν εἰς ἄκρον ἥκῃ, σφαλερὰν 
-Z/4/752/7	εἶναί φησιν. αὐτὸ γὰρ δὴ τοῦτ' ἔστιν αὐτῇ τὸ εἰς ἄκρον 
