
[0057]  [036]  []  []

-Z/6/1/t	        {ΓΑΛΗΝΟΥ ΥΓΙΕΙΝΩΝ ΛΟΓΟϹ Α} 
-Z/6/1/1	  Τῆϲ περὶ τὸ ϲῶμα τἀνθρώπου τέχνηϲ μιᾶϲ οὔϲηϲ, ὡϲ ἐν ἑτέρῳ 
-Z/6/1/2	δέδεικται γράμματι, δύο ἐϲτὶ τὰ πρῶτά τε καὶ μέγιϲτα μόρια· καλεῖται 
-Z/6/1/3	δὲ τὸ μὲν ἕτερον αὐτῶν ὑγιεινόν, τὸ δὲ ἕτερον θεραπευτικόν, ἔμπαλιν 
-Z/6/1/4	ἔχοντα πρὸϲ ἄλληλα ταῖϲ ἐνεργείαιϲ, ἐπειδή γε τῷ μὲν φυλάξαι, τῷ 
-Z/6/1/5	δ' ἀλλοιῶϲαι πρόκειται τὴν περὶ τὸ ϲῶμα κατάϲταϲιν. ἐπεὶ δὲ καὶ 
-Z/6/1/6	χρόνῳ καὶ ἀξιώματι πρότερόν ἐϲτιν ὑγεία νόϲου, χρὴ δήπου καὶ ἡμᾶϲ, 
-Z/6/1/7	ὅπωϲ ἄν τιϲ ταύτην φυλάξειεν, ἐϲκέφθαι πρότερον, ἐφεξῆϲ δὲ καί, ὡϲ 
-Z/6/2/1	ἄν τιϲ ἄριϲτα | νόϲουϲ ἐξιῷτο. κοινὴ δ' ἀμφοτέροιϲ ὁδὸϲ τῆϲ εὑρέϲεωϲ, 
-Z/6/2/2	εἰ γνοίημεν, ὁποία τίϲ ἐϲτιν ἡ διάθεϲιϲ τοῦ ϲώματοϲ, ἣν ὑγείαν ὀνο-
-Z/6/2/3	μάζομεν· οὐ γὰρ ἂν οὔτε φυλάττειν αὐτὴν παροῦϲαν οὔτ' ἀνακτή-
-Z/6/2/4	ϲαϲθαι διαφθειρομένην οἷοί τε ἦμεν ἀγνοοῦντεϲ τὸ παράπαν, ἥτιϲ πότ' 
-Z/6/2/5	ἐϲτι. γέγραπται δὲ ἡμῖν ἑτέρωθι καὶ περὶ τοῦδε καὶ δέδεικται τῶν μὲν 
-Z/6/2/6	ὁμοιομερῶν ὀνομαζομένων ἡ ὑγεία, ψυχροῦ καὶ θερμοῦ καὶ ξηροῦ καὶ 
-Z/6/2/7	ὑγροῦ, ϲυμμετρία τιϲ ὑπάρχουϲα, τῶν δ' ὀργανικῶν ἐκ τῆϲ τῶν ὁμοιο-
-Z/6/2/8	μερῶν ϲυνθέϲεώϲ τε καὶ ποϲότητοϲ καὶ πηλικότητοϲ καὶ διαπλάϲεωϲ 
-Z/6/2/9	ἀποτελουμένη. ὥϲτε καὶ ὅϲτιϲ ἂν ἱκανὸϲ ᾖ φυλάττειν ταῦτα, φύλαξ 
-Z/6/2/10	οὗτοϲ ἀγαθὸϲ ὑγείαϲ ἔϲται. φυλάξει δὲ πρότερον ἐξευρὼν ἅπανταϲ 
-Z/6/2/11	τοὺϲ τρόπουϲ, καθ' οὓϲ διαφθείρεται. ὥϲπερ γάρ, εἰ καὶ παντάπαϲιν 
[0057]  [036]  []  []

-Z/6/2/12	ἀπαθὲϲ ἦν ἡμῶν τὸ ϲῶμα, τῆϲ προνοηϲομένηϲ αὐτοῦ τέχνηϲ οὐκ ἂν 
-Z/6/2/13	ἐδεήθημεν, οὕτω νῦν, ἐπειδὴ πάϲχει πολυειδῶϲ, ἀναγκαῖόν ἐϲτι προ-
-Z/6/2/14	ϲτήϲαϲθαί τινα τέχνην, τὴν ἁπάϲαϲ αὐτοῦ τὰϲ βλάβαϲ γινώϲκουϲαν καὶ 
-Z/6/2/15	φυλάττεϲθαι δυναμένην. |  
-Z/6/3/1	  Εἰϲὶ δὲ βλάβαι τε καὶ διαφθοραὶ τοῦ ϲώματοϲ ἡμῶν διτταὶ κατὰ 
-Z/6/3/2	γένοϲ· αἱ μὲν γάρ τινεϲ αὐτῶν ἀναγκαῖαί τ' εἰϲι καὶ ϲύμφυτοι, τὴν οἷον 
-Z/6/3/3	ῥίζαν ἔχουϲαι τὰϲ ἀρχὰϲ τῆϲ γενέϲεωϲ, ἔνιαι δ' οὐκ ἀναγκαῖαι μὲν οὐδὲ 
-Z/6/3/4	ἐξ ἡμῶν αὐτῶν ὁρμώμεναι, διαφθείρουϲαι δ' οὐδὲν ἧττον ἐκείνων τὸ 
-Z/6/3/5	ϲῶμα. διαιρήϲομεν δ' ἤδη χωρὶϲ ἑκατέραϲ. αἷμα καὶ ϲπέρμα τῆϲ γενέϲεωϲ 
-Z/6/3/6	ἡμῶν εἰϲιν αἱ ἀρχαί, τὸ μὲν αἷμα οἷον ὕλη τιϲ εὔρυθμόϲ τε καὶ εὐπειθὴϲ 
-Z/6/3/7	εἰϲ ἅπαν τῷ δημιουργῷ, τὸ δὲ ϲπέρμα τὸν τοῦ δημιουργοῦ λόγον ἔχει. 
-Z/6/3/8	κέκραται δὲ ἑκάτερον μὲν ἐκ τῶν αὐτῶν ϲτοιχείων κατὰ γένοϲ, ὑγροῦ 
-Z/6/3/9	καὶ ξηροῦ καὶ θερμοῦ καὶ ψυχροῦ, ἤ, εἴπερ ἐθέλει τιϲ οὐκ ἀπὸ τῶν ποιο-
-Z/6/3/10	τήτων, ἀλλ' ἀπὸ τῆϲ οὐϲίαϲ ὀνομάζειν αὐτά, γῆϲ καὶ ὕδατοϲ ἀέροϲ τε 
-Z/6/3/11	καὶ πυρόϲ (οὕτω γὰρ ἡμῖν ἐν τῷ Περὶ τῶν καθ' Ἱπποκράτη ϲτοιχείων 
-Z/6/3/12	ἀποδέδεικται), διαφέρουϲι δὲ ἐν τῷ ποϲῷ τῆϲ μίξεωϲ. τῷ μὲν γὰρ 
