
[0057]  [050]  []  []

-Z/7/513/t	{ΓΑΛΗΝΟΥ ΠΕΡΙ ΠΛΗΘΟΥΣ ΒΙΒΛΙΟΝ.} 
-Z/7/513/1	  Οὔτε πολλάκις ὀνομάζοντας ἕτερον ὄνομα 
-Z/7/513/2	τοῦ πλήθους μᾶλλον ἔστιν εὑρεῖν ἅπαντας τοὺς νῦν σχεδὸν 
-Z/7/513/3	ἰατροὺς, οὔτ' ἀγνοοῦντας ἕτερόν τι τούτου μᾶλλον. ὅσοι 
-Z/7/513/4	γοῦν αὐτῶν οἷοί τέ εἰσι καὶ δοῦναι καὶ λαβεῖν λόγον, οἱ 
-Z/7/513/5	πλεῖστοι μὲν ἀποκρίνονται τοῖς ἐρομένοις ὅ τι ποτ' οὖν 
-Z/7/513/6	ὀνομάζουσι πλῆθος, ὡς ἐν τῷ πρὸς τὶ λέγεται τοὔνομα, κα-
-Z/7/513/7	θάπερ τὸ πολύ τε καὶ τὸ ὀλίγον, ὥστε οὐκ εἶναι δυνατὸν ἐν 
-Z/7/513/8	μέτρῳ περιλαβεῖν αὐτό· τὸ γὰρ ἑτέρῳ πολὺ, τοῦτ' ἐνίοτε 
-Z/7/513/9	ὑπάρχει ὀλιγώτερον ἑτέρῳ. καὶ ἐπειδὰν ἐρωτήσῃς αὐτοὺς, 
-Z/7/513/10	ἀξιῶν ἀποκρίνεσθαι τὸ πρᾶγμα πρὸς ὃ τὸ πλῆθος εἶναι  
-Z/7/514/1	λέγουσι, τινὲς μὲν ἰχθύων ἀφωνότεροι γίγνονται, τινὲς δὲ 
-Z/7/514/2	οὕτω μακρά τε καὶ ἀλλόκοτα ληροῦσιν, ὡς μὴ παρακολουθῆ-
-Z/7/514/3	σαι δύνασθαι τοῖς ὑπ' αὐτῶν λεγομένοις. ὀλίγιστοι δὲ ἀπο-
-Z/7/514/4	κρίνονται, τὸ πολὺ καὶ ὀλίγον ὡς πρὸς τὴν δύναμιν νοεῖ-
-Z/7/514/5	σθαι· καὶ εἰ αὖθις αὐτοὺς ἐπανέροιο, τί λέγουσι δύναμιν, 
-Z/7/514/6	ἔνιοι μὲν οὐδ' ὅλως ἀποκρίνονται· τῶν δὲ τολμησάντων ἀπο-
-Z/7/514/7	φήνασθαί τι λέγει μὲν οὐδεὶς οὐδενὶ ταὐτὸν, οἱ πλεῖστοι δὲ 
-Z/7/514/8	πάντα μᾶλλον ἢ δύναμιν ἑρμηνεύουσιν. εἰ δέ τις ἐν αὐτοῖς 
-Z/7/514/9	εὑρεθείη μέχρι τοσούτου φρόνιμος, ὡς ἤτοι δραστικὴν οὐσίαν, 
-Z/7/514/10	ἢ αἰτίαν δραστικὴν εἰπεῖν εἶναι τὴν δύναμιν, εἶτ' ἐρωτηθείη, 
-Z/7/514/11	πρῶτον μὲν εἰ ἔστι τις οὐσία τοιάδε διοικοῦσα τὸ ζῶον, ἔπει-
-Z/7/514/12	τα εἴπερ ἔστι, καὶ τί ποτέ ἐστιν αὕτη, διελθεῖν, οὐκέτι οὐδ' 
-Z/7/514/13	οὗτος ἀποκρίνεται ἐρωτώμενος τὸ ἀπορούμενον, ἀλλ' ἤτοι 
-Z/7/514/14	σιωπᾷ τελέως, ἢ ἐκτοπίζει τὸν λόγον εἰς τοιοῦτον, ὡς βέλ-
-Z/7/514/15	τιον ἂν εἴη σιωπᾷν. εἰ δὲ κᾀν τούτοις τις εὑρεθείη μέχρι το-
-Z/7/514/16	σούτου σωφρονῶν, ὡς ἥτις μέν ἐστιν ἡ οὐσία τῆς δυνάμεως 
-Z/7/514/17	οὐκ ἔχειν εἰπεῖν, ὅτι δὲ ἔστι, ἐκ τῶν ἔργων τεκμαίρεσθαι, 
-Z/7/514/18	πάλιν αὖ καὶ αὐτὸς οὗτος ἐρωτηθεὶς, εἰ τὰ γεγραμμένα τε  
-Z/7/515/1	πρὸς Ἀσκληπιάδου καὶ πολλῶν Ἀσκληπιαδείων τε καὶ μεθο-
-Z/7/515/2	δικῶν ὑπὲρ τοῦ μηδεμίαν εἶναι δύναμιν ἐν τοῖς ζώοις, ἀνε-
-Z/7/515/3	σκέψατό τε καὶ διελύσατο, φαίνεται μηδ' εἰ λέλεκται πρὸς 
-Z/7/515/4	αὐτῶν ἐπιστάμενος. ἐκείνων δὲ αὖ πάλιν αὐτῶν, ὅσοι τὴν 
-Z/7/515/5	δύναμιν οὐκ εἶναί φασιν, ὅτι μὲν ὡς πρὸς ταύτην ἀρνοῦνται 
-Z/7/515/6	νοεῖσθαί τε καὶ συνίστασθαι τὸ πλῆθος, μᾶλλον εὔδηλον· 
-Z/7/515/7	ἀδύνατον γάρ ἐστι πρὸς τὴν μηδ' ὅλως ὑπάρχουσαν σχέσιν 
-Z/7/515/8	συστῆναί τε καὶ νοηθῆναι τὸ πλῆθος· ὡς πρὸς τὰς χώρας δὲ 
-Z/7/515/9	τῶν ἀγγείων μόνας ὑπολαμβάνουσι τὸ πολύ τε καὶ ὀλίγον 
-Z/7/515/10	ὑπάρχειν· ἐνίοτε δὲ οὐδὲ τὴν ἀρχὴν ὅλως ὀνομάζουσι πλῆθος, 
-Z/7/515/11	οὐδὲ ἀπ' αὐτοῦ τινα κενώσεως ἔνδειξιν λαμβάνουσι, ἀλλὰ ἀπὸ 
-Z/7/515/12	μόνης στεγνώσεως, ἣν ὅτι μηδεὶς αὐτῶν ὡσαύτως ἐξηγεῖται, 
-Z/7/515/13	δέδεικται δι' ἑτέρων. καὶ μὴν καὶ τρίτος τις ἄλλος ἐστὶ χορὸς, 
-Z/7/515/14	οὔτε γινώσκων, εἴτε ἔστιν, εἴτε οὐκ ἔστι τις δύναμις, οὔτε 
-Z/7/515/15	ζητεῖν ὁμολογῶν, ἀλλ' ἐπί τισιν ἐναργῶς φαινομένοις σημείοις 
-Z/7/515/16	περὶ τὸν κάμνοντα συνισταμένοις, ἐκ πείρας μακρᾶς εὑρῆσθαι 
-Z/7/515/17	φάσκων ἑαυτῷ τὴν κένωσιν. εἶτ' ἐρωτώμενος ἅττα ποτέ  
-Z/7/516/1	ἐστι τὰ σημεῖα ταῦτα, διάτασιν ἀγγείων φησὶ, καὶ ἔρευθος 
-Z/7/516/2	καὶ βάρος ὅλου τοῦ σώματος, ὄκνον τε πρὸς τὰς κινήσεις καὶ 
-Z/7/516/3	τάσεις τῶν μελῶν. ἔνιοι δὲ αὐτῶν καὶ τὴν ἑλκώδη καὶ κο-
-Z/7/516/4	πώδη προστιθέασιν αἴσθησιν, ἀργόν τε τὸν ἔμπροσθεν βίον 
-Z/7/516/5	ἐν προσφοραῖς ἐδεσμάτων τε καὶ πομάτων πλείοσι, καὶ συνή-
-Z/7/516/6	θων ἐκκρίσεων ἐποχῇ. ἐπὶ ταύτῃ γοῦν τῇ συνδρομῇ, καλοῦσι 
-Z/7/516/7	γὰρ οὕτω τὸ ἄθροισμα τῶν συμπτωμάτων, τετηρῆσθαι φλε-
-Z/7/516/8	βοτομίαν ὠφελοῦσαν. οὗτοι μὲν οὖν οὐ μόνον ἑαυτοὺς, ἀλλὰ 
-Z/7/516/9	καὶ τοὺς ἄλλους ἅπαντας ἀνθρώπους ἀφαιροῦνται τὸν λόγον, 
-Z/7/516/10	ἐκ πείρας εὑρῆσθαι πάντα φάσκοντες· οἱ δ' ἄλλοι, καθάπερ 
-Z/7/516/11	εἴρηται νῦν δὴ, λόγῳ τε χρῆσθαί φασι, καὶ τὴν δύνα-
-Z/7/516/12	μιν οἱ μὲν ὡς οὐδ' ὅλως ἔστιν, οἱ δὲ ὡς ἔστι μὲν, ἥτις δ' 
-Z/7/516/13	αὐτῆς ἡ οὐσία, μὴ γινώσκεσθαί φασιν· ὡς ὀλιγίστους εἶναι 
-Z/7/516/14	τοὺς ἀποφήνασθαι τολμῶντας ὕπαρξίν τε καὶ οὐσίαν δυνά-
-Z/7/516/15	μεως. ἀλλὰ καὶ τούτων οὔτε τὸν ἀριθμὸν οὔτε τὴν οὐ-
-Z/7/516/16	σίαν ἅπαντες ἀποφαίνονται τὴν αὐτήν· ἀλλὰ καὶ τῶν ἀπολι-
-Z/7/516/17	πόντων ἡμῖν συγγράμματα τινὲς μὲν ἀταλαιπωρότερον ὡς 
