
[0057]  [070]  []  []

-Z/11/250/t1	{ΓΑΛΗΝΟΥ ΠΕΡΙ ΦΛΕΒΟΤΟΜΙΑΣ ΘΕΡΑ-
-Z/11/250/t2	          ΠΕΥΤΙΚΟΝ.} 
-Z/11/250/1	  Τοῖς περὶ φλεβοτομίας σκοπουμένοις ἓν 
-Z/11/250/2	μὲν καὶ πρῶτον ἐστὶ πρόβλημα σκέψασθαι τὰς διαθέσεις 
-Z/11/250/3	τοῦ σώματος, ὅσαι δέονται κενώσεως. εἶθ' ἑξῆς δεύτερον 
-Z/11/250/4	ὅσαι τῆς διὰ φλεβοτομίας, ὡς πολλαὶ εἰσὶ διαθέσεις, ἄλλαι 
-Z/11/250/5	μέν τινος κενώσεως, οὐ μὴν φλεβοτομίας δεόμεναι. τρίτον 
-Z/11/250/6	ἐπὶ τούτοις σκέμμα διακρῖναι τοὺς δυναμένους ἀλύπως ἐνεγ-
-Z/11/250/7	κεῖν τὴν κένωσιν. εὑρίσκεται γὰρ ἡ μὲν διάθεσις ἐνίοτε 
-Z/11/250/8	δεομένη φλεβοτομίας, ὁ κάμνων δ' οὐ φέρει αὐτὴν ἤτοι δι'  
-Z/11/251/1	ἡλικίαν, ἢ δι' ὥραν τοῦ ἔτους, ἢ διὰ τὴν τῆς χώρας φύσιν, 
-Z/11/251/2	ἢ διὰ κάκωσιν τοῦ στόματος τῆς γαστρὸς, ὃ καταχρώμενοι 
-Z/11/251/3	πολλάκις ὀνομάζουσι στόμαχον, ὥσπερ ἀμέλει καὶ νῦν ἐν 
-Z/11/251/4	ὅλῳ τῷ λόγῳ χρώμεθα τῇ προσηγορίᾳ βραχυλογίας ἕνεκεν. 
-Z/11/251/5	εἰσὶ δὲ οἳ καὶ διὰ τὴν ἕξιν ὅλου τοῦ σώματος οὐ φέρουσι 
-Z/11/251/6	φλεβοτομίαν, εἰ καὶ μάλιστα αὐτῆς τυγχάνοιεν ὅσον ἐπὶ τῷ 
-Z/11/251/7	νοσήματι δεόμενοι. ἢν δὲ δὴ καὶ ταῦτα διορίσηταί τις, ἡ περὶ 
-Z/11/251/8	τοῦ μέρους σκέψις ἡμᾶς διαδέχεται, καθάπερ ἐπὶ παντὸς ἄλλου 
-Z/11/251/9	βοηθήματος. εἶθ' ἑξῆς ἡ περὶ τῶν φλεβῶν ἃς χρὴ τέ-
-Z/11/251/10	μνειν· ἐζήτηται γὰρ ἱκανῶς καὶ περὶ τούτων, ἆρά γε διαφέρει 
-Z/11/251/11	μηδὲν ἣν ἂν ἐθελήσῃ τις τέμνειν φλέβα, ἅπασαι γὰρ ὡσαύτως 
-Z/11/251/12	ὠφελοῦσιν ἁπάσας τὰς διαθέσεις, ἢ καθάπερ Ἱπποκράτης 
-Z/11/251/13	καὶ οἱ δοκιμώτατοι τῶν ἰατρῶν ὑπειλήφασι πάμπολυ διαφέρειν 
-Z/11/251/14	τὸ τήνδε πρὸ τῆσδε σχάσαι. διορισθέντος δὲ καὶ τούτου τοῦ 
-Z/11/251/15	σκέμματος, ἔσται ἑξῆς ὁ περὶ τῶν σκοπῶν λόγος, οἷς ἄν τις 
-Z/11/251/16	προσέχων τὸν νοῦν στοχάσοιτο τοῦ μέτρου τῆς κενώσεως. 
-Z/11/251/17	ἐπὶ δὲ τούτοις ἅπασιν, ἐπὶ τινῶν μὲν ἅπαξ ἀφαιρεῖν ἄμεινον, 
-Z/11/251/18	ἐπὶ τινῶν δὲ τὴν καλουμένην ἐπαφαίρεσιν ποιεῖσθαι προσήκει,  
[0057]  [070]  []  []

-Z/11/252/1	καὶ τινὰς μὲν ἄχρι λειποθυμίας κενοῦν, ἐπὶ τινῶν δὲ φυλάτ-
-Z/11/252/2	τεσθαι ταύτην, ὡς μέγιστον κακόν. ταῦτα μὲν οὖν ἀναγκαῖόν 
-Z/11/252/3	ἐστιν ἐπισκέπτεσθαι τὸν μέλλοντα καλῶς χρῆσθαι τῷ βοη-
-Z/11/252/4	θήματι. 
-Z/11/252/5	  Καὶ λέλεκται περὶ πάντων αὐτῶν ἤδη κατὰ 
-Z/11/252/6	τὴν τῆς θεραπευτικῆς μεθόδου πραγματείαν, καθάπερ γε καὶ 
-Z/11/252/7	πρὸς Ἐρασίστρατον ἰδίᾳ περὶ τοῦ κακῶς αὐτὸν ἀποστῆναι 
-Z/11/252/8	τοῦ βοηθήματος. εἶτα αὖθις ἄλλο πρὸς ἐκείνους τῶν Ἐρασι-
-Z/11/252/9	στρατείων ὅσοι φασὶ κεχρῆσθαι τῷ βοηθήματι τὸν ἄνδρα. 
-Z/11/252/10	διὸ καὶ μισήσειεν ἄν τις ἤτοι τὴν πανουργίαν τῶν μιαρῶν 
-Z/11/252/11	σοφιστῶν, ὅταν γιγνώσκοντες ὅτι ψεύδονται, ἐπιτεχνάζονται 
-Z/11/252/12	ἐπιθυμίᾳ καινοτομίας, ἢ τὴν δοξοσοφίαν, ὅταν ἀγνοοῦντες 
-Z/11/252/13	τὰ χρησιμώτατα, κατασκευάζουσι τῷ λόγῳ τἀναντία. τούτων 
-Z/11/252/14	γάρ τοι τὸ ἕτερον ὁ Κνίδιος Χρύσιππος ἔπαθεν ἐξελὼν παν-
-Z/11/252/15	τάπασι φλεβοτομίαν τῶν βοηθημάτων τῶν ἰατρικῶν. ἠκολού-
-Z/11/252/16	θησαν δ' αὐτῷ καὶ οἱ μαθηταὶ Μήδιός τε καὶ Ἀριστογένης 
-Z/11/252/17	ἔνδοξοι καὶ αὐτοὶ παρ' Ἕλλησι γενόμενοι. τούτων δ' ἐπὶ 
-Z/11/252/18	μᾶλλον ὁ Ἐρασίστρατος εἰς δόξαν ἀρθεὶς λαμπροτάτην ἐφύ- 
-Z/11/253/1	λαξε τὴν Χρυσίππου γνώμην. εἶθ' ἑξῆς οἱ τούτου μαθηταὶ 
-Z/11/253/2	τό γε κατ' ἀρχὰς ἠκολούθησαν ἅπαντες τῷ τοῦ διδασκάλου 
-Z/11/253/3	δόγματι, χρόνῳ δ' ὕστερον ἀπέστησαν τινὲς αὐτῶν αἰδε-
-Z/11/253/4	σθέντες ἀναίσχυντον αἰδώ. τί γὰρ ἂν ἄλλο τίς εἴπῃ πρὸς 
-Z/11/253/5	τοὺς ὑπομείναντας ἀποφήνασθαι προσίεσθαι τὸ τῆς φλεβοτο-
-Z/11/253/6	μίας βοήθημα τὸν Ἐρασίστρατον, εἰ καὶ μηδαμόθι φαίνεται 
-Z/11/253/7	τῶν συγγραμμάτων ἐπὶ μηδενὸς πάθους αὐτὸ συμβουλεύων; 
-Z/11/253/8	ἀκόλουθον γὰρ οὖν ἦν φασὶ τῷ τὴν ἀσιτίαν ὡς κενωτικὸν 
-Z/11/253/9	βοήθημα παραλαμβάνοντι καὶ τὴν φλεβοτομίαν πολὺ μᾶλλον 
-Z/11/253/10	ἐκκρίνειν. οἱ δὲ ταῦτα λέγοντες ἅπαντες ἀξιώσουσι φλεβοτο-
-Z/11/253/11	μεῖν, ἐφ' ὧν Ἐρασίστρατος ἐκέλευσεν ἀσιτίᾳ χρῆσθαι. γεγρα-
-Z/11/253/12	φότος οὖν αὐτοῦ κατὰ τὴν τῶν πυρετῶν πραγματείαν, ἐν ταῖς 
-Z/11/253/13	ἀρχαῖς τῶν νόσων ἀσιτίαν, ἀκόλουθόν ἐστιν ἅπαντας φλεβο-
-Z/11/253/14	τομεῖν, ὡς καὶ ὁ τούτων λόγος ἐν ἐκείνῳ τῷ καιρῷ. ἔστι 
-Z/11/253/15	μὲν δὴ καὶ τοῦτο μέγιστον κακὸν, εἰ πεισθεῖεν οὕτω πράττειν 
-Z/11/253/16	οἱ τὴν τέχνην μανθάνοντες νέοι. πολὺ δὲ τούτων χεῖρον, εἰ 
-Z/11/253/17	μηδὲ τῶν ἄλλων ὧν διορίσασθαι προσῆκεν, ἐπισκέψονται.  
-Z/11/254/1	ταῦτ' οὖν ἠναγκάσθην αὐτὰ καθ' ἕτερον γράμμα διεξελθεῖν, 
-Z/11/254/2	ἐπιδεῖξαί τε τοῖς νέοις Ἐρασίστρατον οὔτε φλεβοτομίᾳ κεχρη-
-Z/11/254/3	μένον, ἄμεινον γὰρ τοῦτο πεισθῆναι τοῦ πάντας ἑξῆς φλε-
-Z/11/254/4	βοτομεῖν, ὅσους ἐκεῖνος ἀσιτεῖν ἐκέλευσε, μεγίστην τε 
-Z/11/254/5	τὴν ὠφέλειαν ἐκ τοῦ βοηθήματος γίγνεσθαι τοῖς κάμνουσιν, 
-Z/11/254/6	ἐάν τις αὐτῷ προσηκόντως ᾖ χρώμενος. οὐκ οὖν ἔτι γε δέῃ 
-Z/11/254/7	κατά γε τὴν ἐμὴν γνώμην ἄλλο τί μοι γραφῆναι περὶ φλεβο-
