
[0057]  [077]  []  []

-Z/13/362/t1	{ΓΑΛΗΝΟΥ ΠΕΡΙ ΣΥΝΘΕΣΕΩΣ ΦΑΡΜΑΚΩΝ 
-Z/13/362/t2	  ΤΩΝ ΚΑΤΑ ΓΕΝΗ ΒΙΒΛΙΟΝ Α.} 
-Z/13/362/1	  Ἤδη μοι καὶ πρόσθεν ἐγέγραπτο πραγμα-
-Z/13/362/2	τεία, δυοῖν μὲν ἐξ αὐτῆς τῶν πρώτων βιβλίων ἐκδοθέντων, 
-Z/13/362/3	ἐγκαταλειφθέντων δὲ ἐν τῇ κατὰ τὴν ἱερὰν ὁδὸν ἀποθήκῃ 
-Z/13/362/4	μετὰ τῶν ἄλλων, ἡνίκα τὸ τῆς Εἰρήνης τέμενος ὅλον ἐκαύθη, 
-Z/13/362/5	καὶ κατὰ τὸ παλάτιον αἱ μεγάλαι βιβλιοθῆκαι. τηνικαῦτα 
-Z/13/362/6	γὰρ ἑτέρων τε πολλῶν ἀπώλοντο βιβλία καὶ τῶν ἐμῶν 
-Z/13/362/7	ὅσα κατὰ τὴν ἀποθήκην ἐκείνην ἔκειτο, μηδενὸς τῶν ἐν Ῥώμῃ  
-Z/13/363/1	φίλων ἔχειν ὁμολογοῦντος ἀντίγραφα τῶν πρώτων δυοῖν. 
-Z/13/363/2	ἐγκειμένων οὖν τῶν ἑταίρων αὖθίς με γράψαι τὴν αὐτὴν 
-Z/13/363/3	πραγματείαν, ἀναγκαῖον ἔδοξέ μοι δηλῶσαι περὶ τῶν προ-
-Z/13/363/4	εκδοθέντων, ὅπως μή τις προεντυχὼν αὐτοῖς ποτε ζητοίη 
-Z/13/363/5	τὴν αἰτίαν τοῦ δίς με περὶ τῶν αὐτῶν πραγματεύσασθαι. 
-Z/13/363/6	κατ' ἐκεῖνα μὲν οὖν ἐποιησάμην τὸν λόγον ἀπὸ τῆς ἀρχῆς 
-Z/13/363/7	τοῦ πρώτου βιβλίου πρὸς τοὺς σοφιστικῶς ἀναιροῦντας, ὡς 
-Z/13/363/8	οἷόν τε τὴν ἐπαγγελίαν τῶν συνθέτων φαρμάκων, 
-Z/13/363/9	ἐνίοις δὲ καὶ τῶν ἁπλῶν ἐπηρεάζοντας, ἅμα τοῦ σκώπτειν 
-Z/13/363/10	τοὺς γεγραφότας ὑπὲρ αὐτῶν, ὡς τὰ μὲν ἧπαρ ὠφελεῖ, τὰ 
-Z/13/363/11	δὲ σπλῆνα, τὰ δὲ νεφροὺς ἢ κύστιν ἢ κεφαλὴν ἢ πνεύμονα. 
-Z/13/363/12	πότερα γὰρ, φασὶν, ἐφεστηκώς τις αὐτοῖς προστάττει, καθά-
-Z/13/363/13	περ ἐν τῇ τραγῳδίᾳ, 
-Z/13/363/14	  Σὺ μὲν βάδιζε τὰς ἐπ' Ἰνάχου ῥοὰς, 
-Z/13/363/15	  Σὺ δ' ἀμφὶ Θήβας στεῖχε τὰς Καδμηΐας. 
-Z/13/363/16	οὕτως ἐνταῦθα σὺ μὲν βάδιζε τὰς ἐφ' ἥπατι πύλας, σὺ δ' 
-Z/13/363/17	ἐπί τε κύστιν ἢ καὶ νεφροὺς δύο ἢ τὸ καταποθὲν εἰς τὴν 
-Z/13/363/18	κοιλίαν ἀναδίδοται μὲν εἰς ἧπαρ, ἐντεῦθεν δὲ φέρεται πάντῃ  
-Z/13/364/1	τοῦ σώματος; ἀλλὰ τοῦτό γε τὸ σκῶμμα δηλοῖ τοὺς ταῦτα 
-Z/13/364/2	λέγοντας εἰς τοσοῦτον ἀπείρους εἶναι φαρμάκων δυνάμεως, 
-Z/13/364/3	ὡς ἀγνοεῖν ὑπὸ μὲν τοῦ θαλαττίου λαγωοῦ μόνον τῶν πάν-
-Z/13/364/4	των ἐν τῷ σώματι μορίων ἑλκόμενον πνεύμονα, κύστιν δ' 
-Z/13/364/5	αὖ μόνην ὑπὸ τῶν κανθαρίδων. ὑπ' ἄλλων δὲ τοὺς ἐν νε-
