
[0057]  [079]  []  []

-Z/14/210/t1	{ΓΑΛΗΝΟΥ ΠΡΟΣ ΠΙΣΩΝΑ ΠΕΡΙ 
-Z/14/210/t2	  ΤΗΣ ΘΗΡΙΑΚΗΣ ΒΙΒΛΙΟΝ.} 
-Z/14/210/1	  [Πίσωνι τὸν λόγον ἀνατίθησιν, Ἀνδρό-
-Z/14/210/2	μαχον ἐπαινεῖ, καὶ τῆς γραφθησομένης πραγματείας τὸ αἴτιον 
-Z/14/210/3	ἐκδηλοῖ ὁ Γαληνός.] Καὶ τοῦτόν σοι τὸν περὶ τῆς θη-
-Z/14/210/4	ριακῆς λόγον ἀκριβῶς ἐξετάσας ἅπαντα, ἄριστε Πίσων, 
-Z/14/210/5	σπουδαίως ἐποίησα, καὶ μάλιστα ἐπεί σε κατεῖδον περὶ τὴν 
-Z/14/210/6	γνῶσιν αὐτῆς μὴ παρέργως ἔχοντα. εἰσελθὼν γάρ ποτε 
-Z/14/210/7	πρός σε κατὰ τὸ ἔθος, πολλὰ μὲν καὶ ἄλλα τῶν συνήθων 
-Z/14/210/8	σοι παρακείμενα βιβλία εὗρον. καὶ γὰρ καὶ ἄλλως ἔστι σοι 
-Z/14/210/9	φίλον, μετὰ τὰς δημοτικὰς τῶν πράξεων ἀσχολίας, τοῖς  
-Z/14/211/1	παλαιοῖς τῶν φιλοσόφων ἀνδρῶν ὁμιλεῖν. γενόμενον δέ τι 
-Z/14/211/2	σύγγραμμα περὶ τῆς ἀντιδότου ταύτης οὐκ ἀηδῶς ἀνεγί-
-Z/14/211/3	νωσκες τότε, καί μοι παραστάντι σοι εὐθέως μὲν φιλικοῖς 
-Z/14/211/4	ἐνεῖδες τοῖς ὄμμασι, δεξιῶς δὲ καὶ προσηγόρευσας, καὶ μετὰ 
-Z/14/211/5	ταῦτα πάλιν ἀνεγίνωσκες τὸ βιβλίον, ἀκροατὴν ἔχων ἐμέ. 
-Z/14/211/6	ἤκουον δὲ καὶ αὐτὸς, οὐκ ἀμελῶς γὰρ ἦν τὸ σύγγραμμα 
[0057]  [079]  []  []

-Z/14/211/7	συντεταγμένον ὑπό τινος Ἀνδρομάχου καλουμένου, ἐντελῶς 
-Z/14/211/8	πεπαιδευμένου τὴν τέχνην, μὴ μόνον τῇ πείρᾳ τῶν ἔργων, 
-Z/14/211/9	ἀλλὰ καὶ τοῖς λόγοις, τὸν ἐπ' αὐτοῖς λογισμὸν ἀκριβῶς 
-Z/14/211/10	ἠσκημένου. τὸ γοῦν ἄρχειν ἡμῶν, διὰ τὴν ἐν τούτοις ὑπερ-
-Z/14/211/11	οχὴν, ὑπὸ τῶν κατ' ἐκεῖνον καιρὸν βασιλέων ἦν πεπιστευ-
-Z/14/211/12	μένος, ὡς ἔμοιγε δοκεῖ, τάχα τι καὶ τῆς πατρίδος αὐτῷ 
-Z/14/211/13	εἰς τὸ ἀκριβῶς ἐκμαθεῖν τὴν ἰατρικὴν συναραμένης. Κρὴς 
-Z/14/211/14	γὰρ τὸ γένος ἦν, καὶ εἰκὸς ἦν τὴν Κρήτην, ὡς ἄλλα 
-Z/14/211/15	πολλὰ τῶν βοτανῶν, οὕτω καὶ εἴς τι φάρμακον ἀγαθὸν 
-Z/14/211/16	τοῖς ἀνθρώποις ἐνεγκεῖν τὸν τοιοῦτον ἄνδρα. ἀναγινώσκον-
-Z/14/211/17	τος δέ σου τὰ γεγραμμένα, πάνυ γε ἐγὼ ἔχαιρον, ὅτι οὕτως 
-Z/14/211/18	ἀκριβῶς προσεῖχες τοῖς ὑπὸ τοῦ ἀνδρὸς λεγομένοις, καὶ ἀλη- 
-Z/14/212/1	θῶς μέγα με θαῦμα κατεῖχε, καὶ τῇ καθ' ἡμᾶς τύχῃ πολ-
-Z/14/212/2	λὴν τὴν χάριν εἶχον, ὅτι σε φιλοπόνως οὕτως ἔχοντα περὶ 
-Z/14/212/3	τὴν τέχνην ἔβλεπον. οἱ μὲν γὰρ πολλοὶ τῶν ἄλλων ἀνθρώ-
-Z/14/212/4	πων μόνην τὴν ἀκοὴν ὑπὸ τῶν ταύτης λόγων εὐφραίνε-
-Z/14/212/5	σθαι θέλουσι. σὺ δὲ οὐ μόνον τῶν λεγομένων ἡδέως 
-Z/14/212/6	ἀκούεις, ἀλλὰ καὶ πολλὰ τῶν μὴ λεγομένων ἐξ ἐμφύτου 
-Z/14/212/7	συνέσεως εὑρίσκεις εὐφυῶς. ἔνια δὲ καὶ τῶν ἔργων οὕτως 
-Z/14/212/8	ἀκριβῶς ἐπίστασαι καὶ βλέπεις, ὡς οἱ φιλοπόνως μαθόντες 
-Z/14/212/9	ἡμεῖς. ὅπερ ὡς ἀληθῶς ἐγὼ θεασάμενος ἐπὶ σοῦ καὶ πάνυ 
-Z/14/212/10	κατεπλάγην. ὁπότε γάρ σου τῶν παίδων ὁ φίλτατος τὴν 
-Z/14/212/11	περὶ τὸ περιτόναιον διάθεσιν ἔσχεν ἔκ τινος τοῦ ἱπ-
-Z/14/212/12	πεύειν ἀνάγκης, ἐπειδή τις καὶ δημοτελὴς ἦν μυστηρίων 
-Z/14/212/13	ἱερουργὸς, διὰ θρησκείαν, τὴν ὑπὲρ Ῥωμαίων θεῶν ἀναγ-
-Z/14/212/14	καίως ἀγομένην τότε, ἐφ' ᾧ δὴ καὶ τοὺς εὐγενεστάτους παῖ-
-Z/14/212/15	δας ἱππεύοντας εὐρύθμως, καὶ χορεύοντας, ὥσπερ τοῖς ἵπ-
-Z/14/212/16	ποις, ἔδει τινὰ τῶν μυστηρίων καὶ αὐτοὺς ἐπιτελεῖν. ὅτε 
-Z/14/212/17	δὴ καὶ τοῦ παιδὸς τοῦ σοῦ ἁπαλοῦ τυγχάνοντος πάνυ, ὁ 
-Z/14/212/18	τόπος οὗτος περιθλασθεὶς, βιαίως ἀπέστη τε τῶν ὑποκει- 
-Z/14/213/1	μένων, καὶ μετ' αὐτὸ πῦον συναγαγὼν, ἐδεήθη καὶ τομῆς, 
-Z/14/213/2	καὶ ὁ μὲν παῖς, ὥσπερ τὶς ἀνὴρ ἤδη, τλημόνως ἁπάντων 
-Z/14/213/3	ἀνεχόμενος, ἐπιεικῶς ἐθεραπεύετο, καθάπερ ἔκ τινος τοῦ 
-Z/14/213/4	φιλοσοφίας λόγου, καρτερίᾳ τε καὶ ἀνδρείᾳ πρὸς τὰ παρόντα 
-Z/14/213/5	εὐφυῶς συνησκημένος. σὺ δὲ ἐφεστὼς ἀκριβῶς οὕτως ἔβλε-
-Z/14/213/6	πες, καὶ τοῖς γιγνομένοις ὑφ' ἡμῶν ἅπασι προσεῖχες, ὡς εἴ 
-Z/14/213/7	ποτέ τι καὶ παρέργως ἐγίγνετο, εὐθέως ἐφεστάναι, καὶ 
-Z/14/213/8	παραινεῖν κατὰ τὸν Ἱπποκράτην, μηδὲν εἰκῇ ποιεῖν. ἐγὼ 
-Z/14/213/9	δέ τι καὶ φιλοτιμότερον θεώμενος, περιεργότερον τὸ ὑπὸ 
-Z/14/213/10	σοῦ γιγνόμενον ἔβλεπον. εἴ ποτε γάρ τι καὶ τῶν ἐπιθετι-
-Z/14/213/11	μένων ὑπὸ τοῦ θεραπεύοντος φαρμάκων ἀτόπως ἔκειτο, τοῦ-
-Z/14/213/12	το τοῖς σαυτοῦ δακτύλοις μετετίθεις τε καὶ δεόντως ἥρμοτ-
-Z/14/213/13	τες τῷ τραύματι, ὡς θαυμαστὸν εἶναι δοκεῖν, ἐκ τῆς περὶ 
-Z/14/213/14	τὸν υἱόν σου στοργῆς καὶ τῆς φυσικῆς ἐντρεχείας, αἰφνί-
-Z/14/213/15	διόν σοι οὕτω τῶν χειρῶν ἐνδεικνυμένων ἀκριβῆ τέχνην, καὶ 
-Z/14/213/16	τοῦτ' ἄρ' ἦν ἰδεῖν ἐπὶ σοῦ φαινόμενον ἐκεῖνο, ὥσπερ δὴ 
