
[0057]  [096]  []  []

-Z/18a/346/t1	{ΠΕΡΙ ΤΩΝ ΟΥΧ ΕΩΡΑΜΕΝΩΝ 
-Z/18a/346/t2	  ΙΠΠΟΚΡΑΤΕΙ ΕΚΠΤΩΣΕΩΝ.} 
-Z/18a/346/1	Ὁ μὲν Ἱπποκράτης εἰς μασχάλην μόνον ἑωρακέ-
-Z/18a/346/2	ναι φησὶν ὀλισθαίνοντα βραχίονα· τῶν δὲ μετ' αὐτὸν ἰα-
-Z/18a/346/3	τρῶν ἔνιοι καὶ ἄλλας ἐκπτώσεις ἔγραψαν, ὡς οἷόν τε καὶ 
-Z/18a/346/4	αὐτοὶ καὶ ἡμεῖς δὲ αὐτοὶ πεντάκις εἴδομεν ἄχρι δεῦρο, κατὰ 
-Z/18a/346/5	μὲν τὴν Ἀσίαν ἅπαξ, ἐν Ῥώμῃ δὲ τετράκις. ὁσάκις δὲ, 
-Z/18a/346/6	οἶμαι, καὶ συνέβη τινὶ γενέσθαι πάθημα τοιοῦτον ἐν τῇ πό-
-Z/18a/346/7	λει διὰ τὸ πάντας ἰατροὺς ἐοικέναι ἐμοὶ τὰ παράδοξα δει- 
-Z/18a/347/1	κνύναι συμβολῆς ἕνεκα, ἐγένοντο μὲν τέτταρες ἐκπτώσεις 
-Z/18a/347/2	ἅπασαι μὲν ἐν τῇ πρόσω χώρᾳ, διαφέρουσαι δὲ ἀλλήλων 
-Z/18a/347/3	πλησιέστερον ἢ ποῤῥώτερον εἶναι τῆς διαρθρώσεως κατὰ τὸ 
-Z/18a/347/4	μῆκος τοῦ κώλου καὶ πλάτος. ἐθαύμαζον δή πως τοῦ μὲν 
-Z/18a/347/5	οὐδ' ὅλως, τῶν δὲ μετ' αὐτὸν ἑωρακέναι λεγόντων ὁ μέν τις 
-Z/18a/347/6	ἅπαξ, ὁ δὲ δὶς, οὐδεὶς δ' οὕτω πολλάκις, ὡς ἡμεῖς ἄχρι 
-Z/18a/347/7	δεῦρο. τάχ' ἂν καὶ αὖθις ὀφθῇ μοί τι τοιοῦτον. νομίζω 
-Z/18a/347/8	γὰρ οὐ κατὰ τύχην, ἀλλὰ δι' αἰτίας εὐλόγους οὕτως ἀπην-
-Z/18a/347/9	τηκέναι τὸ πρᾶγμα, περὶ οὗ ἑξῆς ἐρῶ. κατὰ μέν γε τὴν 
-Z/18a/347/10	ἡμετέραν Ἀσίαν τὸ πρῶτον ἐθεασάμην ἔκπτωσιν τοιαύτην, 
-Z/18a/347/11	ἔθ' ὑπὸ τοῖς ἐκεῖ διδασκάλοις παιδευόμενος ἐν Σμύρνῃ. ἔστι 
-Z/18a/347/12	δὲ ἡ πόλις αὕτη πολλαπλασία τὸ μέγεθος, ἧς Ἱπποκράτης 
-Z/18a/347/13	μέμνηται συνεχῶς ὡς ἐπὶ τὸ πλεῖστον ἐν αὐτῇ διατρίψας, 
-Z/18a/347/14	μετὰ τὸ τριακοστὸν ἔτος ἐν Ῥώμῃ διέτριψα, πόλει τοσοῦτον 
-Z/18a/347/15	ἀνθρώπων πλῆθος ἐχούσῃ, ὡς ἐπαινεῖσθαι Πολέμωνα τὸν 
-Z/18a/347/16	ῥήτορα τῆς οἰκουμένης ἐπιτομὴν αὐτὴν εἰπόντα. καὶ τοίνυν 
-Z/18a/347/17	ὅτι τέτταρες ἐν αὐτῇ γεγόνασι μέχρι νῦν ἐξαρθρήσεις τοιαῦ-
[0057]  [096]  []  []

-Z/18a/347/18	ται σαφές. διὰ δὲ τὸ πάντας, ὡς ἔφην, ἐμοὶ τοὺς ἰατροὺς  
-Z/18a/348/1	κοινοῦσθαι περὶ τῶν παραδόξων ὀφθέντων, οὐ μόνον ἐν 
-Z/18a/348/2	Ῥώμῃ λαθεῖν οὐκ ἐδύνατο συμβαῖνόν τι τοιοῦτον, ἀλλὰ οὐδὲ 
-Z/18a/348/3	κατὰ τὸν λιμένα καὶ τὴν πλησίον αὐτοῦ πόλιν ἣν Ὀστίαν 
-Z/18a/348/4	ὀνομάζουσι διὰ τὸ καὶ τοὺς ἐν ἐκείνοις τοῖς χωρίοις ἰα-
-Z/18a/348/5	τρεύοντας ἅπαντας εἶναι φίλους, οὖσι καὶ αὐτοῖς πολυαν-
-Z/18a/348/6	θρώποις. αἱ δὲ πόλεις, ὧν Ἱπποκράτης ἐμνημόνευσεν, ὡς 
-Z/18a/348/7	ἐν αὐταῖς ἐπὶ πλέον διατρίψας ἑνὸς ἀμφόδου τῶν ἐν Ῥώμῃ 
-Z/18a/348/8	πλείονας οὐκ εἶχον οἰκήτορας. οὐδὲν οὖν θαυμαστὸν ἐν πό-
-Z/18a/348/9	λει πλῆθος ἀνθρώπων ἐχούσῃ πλείους ὁμοίως παθόντας. ἔτι 
-Z/18a/348/10	δὲ κἀκεῖνο διδαχθεὶς ἀπὸ τῆς πείρας εἰς τὴν τῆς αἰτίας 
-Z/18a/348/11	εὕρεσιν ἐποδηγήθην. ἔνιοι μὲν γὰρ ἐν παλαίστραις 
-Z/18a/348/12	τοιούτῳ τρόπῳ πεσόντες, ἐνίοις δὲ ἔοικεν ὑπὸ τῶν ἰατρῶν 
-Z/18a/348/13	γενέσθαι. δύο γάρ τινες τῶν ὀφθέντων μοι τὴν μὲν ἔκ-
-Z/18a/348/14	πτωσιν ἔλεγον εἰς μασχάλην γεγονέναι, μοχλευόντων δὲ ἀμα-
-Z/18a/348/15	θῶς τῶν ἰατρῶν σφηνωθῆναι τὸ ἄρθρον, οὐχ ὡς ἑωρᾶτο 
-Z/18a/348/16	κατὰ συμβολὰς τῶν μυῶν· ὥστε τῷ κατὰ τὴν τῶν Ῥωμαίων 
-Z/18a/348/17	πόλιν πλήθει, εἰ προθείης τὰς εἰρημένας αἰτίας δύο, ζητή-
-Z/18a/348/18	σεις οὐ διὰ τί τοσούτους γε εἶδον, ἀλλὰ διὰ τί γε οὐχὶ  
-Z/18a/349/1	πλείους εἶδον, οἷς οὕτως ἐξήρθρησεν. ἐπὶ γάρ τοι τῶν Ἱπ-
-Z/18a/349/2	ποκράτους χρόνων οἱ ἰατρεύοντες ἐμεμαθήκεισαν νομίμως 
-Z/18a/349/3	καὶ μάλιστα περὶ τὰς τοιαύτας χειρουργίας τέχνην. οἱ δὲ 
-Z/18a/349/4	νῦν μὴ μαθόντες ὅλως ἢ παντάπασιν ὀλίγῳ χρόνῳ μαθόν-
-Z/18a/349/5	τες· εἶτα τῶν παλαισμάτων τῇ ἐμπειρίᾳ θαυμαστὸν ὅσον 
-Z/18a/349/6	ἐπιδέδωκε τῶν διδασκόντων αὐτὰ πολυειδῶς ἐκστρεφόντων 
-Z/18a/349/7	καὶ λυγιζόντων τὰ κῶλα. ζητήσεις οὖν, ἔφην, οὐ 
-Z/18a/349/8	διὰ τί τοσούτους εἶπον, ἀλλὰ διὰ τί πλείους οὐκ εἶδον ἐν 
-Z/18a/349/9	τοσαύταις μυριάσιν ἀνθρώπων ὑπὸ πολλῶν μὲν παιδοτρι-
-Z/18a/349/10	βῶν, παμπόλλων δὲ ἰατρῶν ἀμαθῶν εἰς τοιαύτας ἐξαρθρή-
-Z/18a/349/11	σεις ἀγομένων. ἡ δ' οὖν ἐμβολὴ καίτοι τῶν ἐξαρθρημάτων 
-Z/18a/349/12	τοῖς αὐτοῖς τάσσεται σκοποῖς, ἀντιτάσει τε καὶ μοχλείᾳ καὶ 
-Z/18a/349/13	ἀποθέσει. προσήκει δὲ οὐκ ἐπὶ μασχάλης ἐκπτώσεως, οὕτω 
-Z/18a/349/14	καὶ νῦν μὲν μοχλεύειν. ἐπ' ἐκείνης μὲν γὰρ ἔδει πρόσω 
-Z/18a/349/15	πρῶτον, εἶτ' ἄνω τὸ ἄρθρον ἄγειν, ἄχρις ἂν ἐπ' εὐθείας 
-Z/18a/349/16	γένηται τῇ κοιλότητι. νῦν δὲ ἐπειδὴ πάντως μὲν ἐν τοῖς 
-Z/18a/349/17	πρόσω μέρεσι τῆς διαρθρώσεώς ἐστιν, ἤτοι δ' ἐγκέκλεισται 
-Z/18a/349/18	πρὸς τὴν ἔνδον ἢ τὴν ἔξω χώραν ἐσφηνωμένον ἐν τοῖς μυ- 
-Z/18a/350/1	σὶν ὠθεῖν αὐτὸ χρὴ πρὸς τὴν ἐναντίαν χώραν ἐμβαλόντα 
-Z/18a/350/2	τῶν μυῶν ἀνασπασθὲν εἰς τὴν μασχάλην ἐνεχθῆναι. μά-
-Z/18a/350/3	λιστα μὲν οὖν οὔτε ἡ ἀντίτασις ἐᾷ γενέσθαι τοῦτο, καὶ κατὰ 
-Z/18a/350/4	ταύτην δὲ τὴν ἀντίτασιν οὐδὲ χεῖρόν ἐστιν ἠσφαλίσθαι τὸ 
-Z/18a/350/5	κατὰ τὴν μασχάλην χωρίον, ὡς ἐπράξαμεν ἐν Σμύρνῃ περὶ 
-Z/18a/350/6	τὸ γενόμενον οὕτως ἐξάρθρημα. κατὰ παλαίστραν μὲν γάρ 
-Z/18a/350/7	τινι συνέβη διαπλωθείσης τῆς χειρὸς ὑπὸ τοῦ παλαίοντος, 
-Z/18a/350/8	ὅστις μάλιστα τρόπος εἰς τὸ πρόσω δύναται μεταστῆσαι τὸ 
-Z/18a/350/9	ἄρθρον. ὕπτιον δὲ κατακλίναντες τὸν πεπονθότα τὴν ἀν-
-Z/18a/350/10	τίτασιν ἐποιησάμεθα τῇ διὰ τῆς πτέρνης παραπλησίαν ὄπι-
-Z/18a/350/11	σθεν μὲν καθίσαντές τινα, περιβάλλοντες δὲ τὴν μασχάλην 
-Z/18a/350/12	πλατὺν ἱμάντα προϋποβεβλημένου τινὸς εἰς τὸ κοῖλον ἐκπλη-
-Z/18a/350/13	ρώματος. αὐτοὶ δὲ, ὡς ἔφην, ἔξω τῶν προσφιγγόντων τὸ 
-Z/18a/350/14	ἄρθρον μυῶν ἀπώσαντες, εἶτ' ἀνέντες τὴν κατάτασιν ἐπετρέ-
-Z/18a/350/15	ψαμεν ἀνασπασθῆναι πρὸς τῶν μυῶν εἰς ἑαυτοὺς συντρε-
-Z/18a/350/16	χόντων ἐμβληθῆναι τῇ κοιλότητι. τοῦτο μὲν οὖν εὐκόλως 
-Z/18a/350/17	ἐνέπεσε· καὶ γὰρ παραχρῆμα κατ' αὐτὴν τὴν παλαίστραν 
-Z/18a/350/18	ἐπεχειρήσαμεν τῇ θεραπείᾳ. καὶ ἤρκεσέ γε ἡ τῆς πεπον- 
-Z/18a/351/1	θυίας χειρὸς ἡ κατάτασις ὑφ' ἡμῶν αὐτῶν γινομένη, κα-
-Z/18a/351/2	θάπερ ἐπὶ τοῦ διὰ τῆς πτέρνης τρόπου, ἄλλοτε δὴ καὶ διὰ 
-Z/18a/351/3	βρόχου τὴν κατάτασιν ἐποιησάμεθα. χρὴ δὲ ἰσότονον εἶ-
-Z/18a/351/4	ναι τὸν βρόχον, οἷός ἐστιν ὅ τε διπλοῦς καρχήσιος ὅ τ' ἐκ 
-Z/18a/351/5	δυοῖν διαντέων· ἄλλοτε δὲ κεχρονισμένου τοῦ ἐξαρθρήματος 
-Z/18a/351/6	ἐδεήθημεν τοῦ Ἱπποκρατείου βάθρου, περὶ οὗ ποιήσει τὴν 
-Z/18a/351/7	διδασκαλίαν αὐτὸς ἐπὶ προήκοντι τῷ συγγράμματι, νυνὶ 
-Z/18a/351/8	δὲ ἀρκέσει τῶν κατολισθημάτων. ἑξῆς οὖν αὐτῷ περὶ τῆς 
-Z/18a/351/9	διαφορᾶς αὐτῶν τῶν σωμάτων, ἐν οἷς ἧττον καὶ μᾶλλον ἐκ-
-Z/18a/351/10	πίπτει τὰ ἄρθρα διδάσκοντι συνακολουθήσομεν. 
-Z/18a/351/11	          — — — 
-Z/18a/351/12	            κγʹ. 
-Z/18a/351/13	Εἰδέναι μὲν οὖν χρὴ ὅτι φύσιες φυσίων μέγα διαφέρουσιν 
-Z/18a/351/14	  ἐς τὸ ῥηϊδίως ἐμπίπτειν τὰ ἐκπίπτοντα. διενέγκοι μὲν 
-Z/18a/351/15	  γὰρ ἄν τι καὶ κοτύλη κοτύλης, ἡ μὲν εὐυπέρβατος ἐοῦσα, 
-Z/18a/351/16	  ἡ δὲ ἧσσον. πλεῖστον δὲ διαφέρει καὶ τῶν νεύρων ὁ 
-Z/18a/351/17	  σύνδεσμος, τοῖσι μὲν ἐπιδόσιας ἔχων, τοῖσι δὲ ξυντετα-
-Z/18a/351/18	  μένος ἐών. 
-Z/18a/351/19	          — — —  
-Z/18a/352/1	    Συντελέσας τὸν περὶ τῶν ἐμβολῶν λόγον ἤρξατο νῦν 
-Z/18a/352/2	διδάσκειν αἰτίας. τισὶν ἐκπίπτει μὲν οὖν ῥᾳδίως ἐμβάλλε-
-Z/18a/352/3	ταί τε χωρὶς τῆς μεγάλης πραγματείας ὁτιοῦν ἄρθρον. ἐν 
-Z/18a/352/4	οἷς δὲ ἐκπίπτει ὀλιγάκις, ἐμβάλλεταί γε χαλεπῶς. εἴρηται 
-Z/18a/352/5	δ' ὑφ' ἡμῶν ἔμπροσθεν ἤδη τήν τε τῶν ὀστῶν διάρθρωσιν 
-Z/18a/352/6	ἀντιωμένων, τήν τε τῶν προκειμένων αὐτοῖς μυῶν, ἤτοι συν-
-Z/18a/352/7	τονίαν ἢ χαλαρότητα. 
-Z/18a/352/8	          — — — 
-Z/18a/352/9	            κδʹ. 
