
[0057]  [101]  []  []

-Z/18b/629/t1	{ΤΟ ΙΠΠΟΚΡΑΤΟΥΣ ΚΑΤ' ΙΗΤΡΕΙΟΝ 
-Z/18b/629/t2	ΒΙΒΛΙΟΝ ΚΑΙ ΓΑΛΗΝΟΥ ΕΙΣ ΑΥΤΟ 
-Z/18b/629/t3	      ΥΠΟΜΝΗΜΑ Α.} 
-Z/18b/629/1	    Ἰατρικὸν ἐπέγραψεν 
-Z/18b/629/2	αὐτὸ κατ' ἰητρεῖον. ἄμεινον δὲ ἦν περὶ τῶν κατ' ἰητρεῖον 
-Z/18b/629/3	ἐπιγεγράφθαι, καθάπερ ἔνιοι τὸ Διοκλέους ἐπιγράφουσι καὶ 
-Z/18b/629/4	Φιλοτίμου καὶ Μαντίου. γεγραφότων γὰρ καὶ τούτων 
-Z/18b/629/5	τῶν ἀνδρῶν εἰς τὴν αὐτὴν ὑπόθεσιν, ἐν ἑκάστῳ βιβλίῳ, ἐν 
-Z/18b/629/6	μὲν τοῖς πλείστοις ἡ ἐπιγραφὴ χωρὶς τῆς προθέσεώς ἐστι 
-Z/18b/629/7	καὶ τοῦ ἄρθρου κατ' ἰητρεῖον ἁπλῶς ἐπιγεγραμμένων αὐτῶν,  
-Z/18b/630/1	ἐν ὀλίγοις δὲ σύν τε τῇ προθέσει καὶ τῷ ἄρθρῳ περὶ τῶν 
-Z/18b/630/2	κατ' ἰητρεῖον. ἀλλὰ τὰ μὲν τούτων βιβλία πλείονα θεωρή-
-Z/18b/630/3	ματα διδάσκει, τὸ δὲ Ἱπποκράτους μετὰ τὸν κατάλογον ἐξ 
-Z/18b/630/4	ὧν ἡ χειρουργία συμπληροῦται, τὸν περὶ τῆς ἐπιδέσεως λό-
-Z/18b/630/5	γον διέρχεται, τοῦτο πρῶτον ἀξιοῦντος ἀσκεῖσθαι τἀνδρός. 
-Z/18b/630/6	καὶ μέντοι καὶ δύναται ἡ ἄσκησις αὐτοῦ γίγνεσθαι, μάλιστα 
-Z/18b/630/7	μὲν ἐπὶ ξύλων ἐγγεγλυμμένων ἐς ἀνθρώπων ἰδέαν, εἰ δὲ μὴ, 
-Z/18b/630/8	κατά γε τὰ τῶν παιδίων σώματα. ταῦτα μὲν οὖν αὐτὸ τὸ 
-Z/18b/630/9	βιβλίον ἠνάγκασεν ἡμᾶς πρὸ τῶν κατὰ μέρος ἐξηγήσεων εἰ-
-Z/18b/630/10	πεῖν. ἃ δὲ οὐκέτι τὸ βιβλίον, ἀλλ' οἱ μεταγράφοντες ἢ 
-Z/18b/630/11	ἑτοίμως εἰς ὅπερ ἂν αὐτοὶ βουληθῶσι διεδέξαντο τῶν πρεσ-
-Z/18b/630/12	βυτέρων γραφὰς, ἤδη σοι δίειμι. τινὲς μὲν γὰρ καὶ πάνυ 
-Z/18b/630/13	παλαιῶν βιβλίων ἀνευρεῖν ἐσπούδασαν πρὸ τριακοσίων ἐτῶν 
-Z/18b/630/14	γεγγραμμένα, τὰ μὲν ἔχοντες ἐν τοῖς βιβλίοις, τὰ δὲ ἐν τοῖς 
