
[0086]  [035]  [Pol]  []

-Z//1252a/t	                {ΠΟΛΙΤΙΚΩΝ Α} 
-Z//1252a/1	  Ἐπειδὴ πᾶσαν πόλιν ὁρῶμεν κοινωνίαν τινὰ οὖσαν καὶ 
-Z//1252a/2	πᾶσαν κοινωνίαν ἀγαθοῦ τινος ἕνεκεν συνεστηκυῖαν (τοῦ γὰρ 
-Z//1252a/3	εἶναι δοκοῦντος ἀγαθοῦ χάριν πάντα πράττουσι πάντες), δῆ-
-Z//1252a/4	λον ὡς πᾶσαι μὲν ἀγαθοῦ τινος στοχάζονται, μάλιστα δὲ 
-Z//1252a/5	καὶ τοῦ κυριωτάτου πάντων ἡ πασῶν κυριωτάτη καὶ πάσας 
-Z//1252a/6	περιέχουσα τὰς ἄλλας. αὕτη δ' ἐστὶν ἡ καλουμένη πόλις 
-Z//1252a/7	καὶ ἡ κοινωνία ἡ πολιτική. ὅσοι μὲν οὖν οἴονται πολιτικὸν 
-Z//1252a/8	καὶ βασιλικὸν καὶ οἰκονομικὸν καὶ δεσποτικὸν εἶναι τὸν 
-Z//1252a/9	αὐτὸν οὐ καλῶς λέγουσιν (πλήθει γὰρ καὶ ὀλιγότητι νομί-
-Z//1252a/10	ζουσι διαφέρειν ἀλλ' οὐκ εἴδει τούτων ἕκαστον, οἷον ἂν μὲν 
-Z//1252a/11	ὀλίγων, δεσπότην, ἂν δὲ πλειόνων, οἰκονόμον, ἂν δ' ἔτι 
-Z//1252a/12	πλειόνων, πολιτικὸν ἢ βασιλικόν, ὡς οὐδὲν διαφέρουσαν 
-Z//1252a/13	μεγάλην οἰκίαν ἢ μικρὰν πόλιν· καὶ πολιτικὸν δὲ καὶ 
-Z//1252a/14	βασιλικόν, ὅταν μὲν αὐτὸς ἐφεστήκῃ, βασιλικόν, ὅταν 
-Z//1252a/15	δὲ κατὰ τοὺς λόγους τῆς ἐπιστήμης τῆς τοιαύτης κατὰ μέρος 
-Z//1252a/16	ἄρχων καὶ ἀρχόμενος, πολιτικόν· ταῦτα δ' οὐκ ἔστιν ἀληθῆ)· 
-Z//1252a/17	δῆλον δ' ἔσται τὸ λεγόμενον ἐπισκοποῦσι κατὰ τὴν ὑφ-
-Z//1252a/18	ηγημένην μέθοδον. ὥσπερ γὰρ ἐν τοῖς ἄλλοις τὸ σύν-
