
[0086]  [045]  [VV]  []

-Z//1249a/t	        {ΠΕΡΙ ΑΡΕΤΩΝ ΚΑΙ ΚΑΚΙΩΝ.} 
-Z//1249a/26	Ἐπαινετὰ μέν ἐστι τὰ καλά, ψεκτὰ δὲ τὰ αἰσχρά. καὶ 
-Z//1249a/27	τῶν μὲν καλῶν ἡγοῦνται αἱ ἀρεταί, τῶν δ' αἰσχρῶν αἱ 
-Z//1249a/28	κακίαι. ἐπαινετὰ δ' ἐστὶ καὶ τὰ αἴτια τῶν ἀρετῶν καὶ τὰ 
-Z//1249a/29	παρεπόμενα ταῖς ἀρεταῖς καὶ τὰ γινόμενα ἀπ' αὐτῶν καὶ 
-Z//1249a/30	τὰ ἔργα αὐτῶν, ψεκτὰ δὲ τὰ ἐναντία. τριμεροῦς δὲ τῆς 
-Z//1249a/31	ψυχῆς λαμβανομένης κατὰ Πλάτωνα, τοῦ μὲν λογιστικοῦ  
-Z//1249b/26	ἀρετή ἐστιν ἡ φρόνησις, τοῦ δὲ θυμοειδοῦς ἥ τε πραότης καὶ 
-Z//1249b/27	ἡ ἀνδρεία, τοῦ δὲ ἐπιθυμητικοῦ ἥ τε σωφροσύνη καὶ ἡ 
-Z//1249b/28	ἐγκράτεια, ὅλης δὲ τῆς ψυχῆς ἥ τε δικαιοσύνη καὶ ἡ 
-Z//1249b/29	ἐλευθεριότης καὶ ἡ μεγαλοψυχία. κακία δ' ἐστὶ τοῦ μὲν 
-Z//1249b/30	λογιστικοῦ ἡ ἀφροσύνη, τοῦ δὲ θυμοειδοῦς ἥ τε ὀργιλότης 
-Z//1249b/31	καὶ ἡ δειλία, τοῦ δὲ ἐπιθυμητικοῦ ἥ τε ἀκολασία καὶ ἡ  
-Z//1250a/1	ἀκράτεια, ὅλης δὲ τῆς ψυχῆς ἥ τε ἀδικία καὶ ἀνελευθε-
-Z//1250a/2	ριότης καὶ μικροψυχία. 
-Z//1250a/3	  Ἔστι δὲ φρόνησις μὲν ἀρετὴ τοῦ λογιστικοῦ, παρα-
-Z//1250a/4	σκευαστικὴ τῶν πρὸς εὐδαιμονίαν συντεινόντων. πραότης δ' 
-Z//1250a/5	ἐστὶν ἀρετὴ τοῦ θυμοειδοῦς, καθ' ἣν ὑπὸ ὀργῆς γίνονται δυσ-
-Z//1250a/6	κίνητοι. ἀνδρεία δ' ἐστὶν ἀρετὴ τοῦ θυμοειδοῦς, καθ' ἣν 
-Z//1250a/7	δυσέκπληκτοί εἰσιν ὑπὸ φόβων τῶν περὶ θάνατον. σωφρο-
-Z//1250a/8	σύνη δ' ἐστὶν ἀρετὴ τοῦ ἐπιθυμητικοῦ, καθ' ἣν ἀνόρεκτοι γί-
-Z//1250a/9	νονται περὶ τὰς ἀπολαύσεις τῶν φαύλων ἡδονῶν. ἐγκρά-
-Z//1250a/10	τεια δ' ἐστὶν ἀρετὴ τοῦ ἐπιθυμητικοῦ, καθ' ἣν κατέχουσι τῷ 
-Z//1250a/11	λογισμῷ τὴν ἐπιθυμίαν ὁρμῶσαν ἐπὶ τὰς φαύλας ἡδονάς. 
-Z//1250a/12	δικαιοσύνη δ' ἐστὶν ἀρετὴ ψυχῆς διανεμητικὴ τοῦ κατ' ἀξίαν. 
-Z//1250a/13	ἐλευθεριότης δ' ἐστὶν ἀρετὴ ψυχῆς εὐδάπανος εἰς τὰ καλά. 
-Z//1250a/14	μεγαλοψυχία δ' ἐστὶν ἀρετὴ ψυχῆς, καθ' ἣν δύναται φέ-
-Z//1250a/15	ρειν εὐτυχίαν καὶ ἀτυχίαν καὶ τιμὴν καὶ ἀτιμίαν. 
-Z//1250a/16	  Ἀφροσύνη δ' ἐστὶ κακία τοῦ λογιστικοῦ, αἰτία τοῦ ζῆν 
-Z//1250a/17	κακῶς. ὀργιλότης δ' ἐστὶ κακία τοῦ θυμοειδοῦς, καθ' ἣν 
-Z//1250a/18	εὐκίνητοι γίνονται πρὸς ὀργήν. δειλία δ' ἐστὶ κακία τοῦ 
-Z//1250a/19	θυμοειδοῦς, καθ' ἣν ἐκπλήττονται ὑπὸ φόβων, καὶ μάλιστα 
-Z//1250a/20	τῶν περὶ θάνατον. ἀκολασία δ' ἐστὶ κακία τοῦ ἐπιθυμητικοῦ, 
-Z//1250a/21	καθ' ἣν αἱροῦνται τὰς φαύλας ἡδονάς. [περὶ μὲν τῆς ἀκρα-
-Z//1250a/22	τείας οὐδέν· οὕτω δὲ σὺ δύνασαι ὁρίζειν.] ἀκράτεια δ' ἐστὶ 
-Z//1250a/23	κακία τοῦ ἐπιθυμητικοῦ, καθ' ἣν παρασύρουσι τῇ ἀλογίᾳ τὴν 
-Z//1250a/24	ἐπιθυμίαν ὠθοῦσαν ἐπὶ τὰς τῶν φαύλων ἡδονῶν ἀπολαύ-
-Z//1250a/25	σεις. ἀδικία δ' ἐστὶ κακία ψυχῆς, καθ' ἣν πλεονεκτικοὶ 
-Z//1250a/26	γίνονται παρὰ τὴν ἀξίαν. ἀνελευθερία δ' ἐστὶ κακία ψυ-
-Z//1250a/27	χῆς, καθ' ἣν ὀρέγονται τοῦ πανταχόθεν κέρδους. μικροψυχία 
-Z//1250a/28	δ' ἐστὶ κακία ψυχῆς, καθ' ἣν ἀδύνατοί εἰσι φέρειν εὐτυ-
-Z//1250a/29	χίαν καὶ ἀτυχίαν καὶ τιμὴν καὶ ἀτιμίαν. 
-Z//1250a/30	  Τῆς δὲ φρονήσεώς ἐστι τὸ βουλεύσασθαι, τὸ κρῖναι τὰ 
-Z//1250a/31	ἀγαθὰ καὶ τὰ κακὰ καὶ πάντα τὰ ἐν τῷ βίῳ αἱρετὰ καὶ 
-Z//1250a/32	φευκτά, τὸ χρῆσθαι πᾶσι καλῶς τοῖς ὑπάρχουσιν ἀγαθοῖς, 
-Z//1250a/33	τὸ ὁμιλῆσαι ὀρθῶς, τὸ συνιδεῖν τοὺς καιρούς, τὸ ἀγχίνως 
-Z//1250a/34	χρήσασθαι καὶ λόγῳ καὶ ἔργῳ, τὸ τὴν ἐμπειρίαν ἔχειν 
-Z//1250a/35	τῶν χρησίμων πάντων. ἡ μνήμη δὲ καὶ ἐμπειρία καὶ 
-Z//1250a/36	ἀγχίνοια ἤτοι ἀπὸ τῆς φρονήσεως ἑκάστη αὐτῶν ἐστίν, ἢ 
-Z//1250a/37	παρέπεται τῇ φρονήσει· ἢ τὰ μὲν αὐτῶν οἷον συναίτια τῆς 
-Z//1250a/38	φρονήσεώς ἐστι, καθάπερ ἐμπειρία καὶ ἡ μνήμη, τὰ δὲ οἷον 
-Z//1250a/39	μέρη αὐτῆς, οἷον εὐβουλία καὶ ἀγχίνοια. πραότητος 
-Z//1250a/40	δ' ἐστὶ τὸ δύνασθαι φέρειν μετρίως ἐγκλήματα καὶ ὀλιγω-
-Z//1250a/41	ρίας, καὶ τὸ μὴ ταχέως ὁρμᾶν ἐπὶ τὰς τιμωρίας, καὶ τὸ 
-Z//1250a/42	μὴ εὐκίνητον εἶναι πρὸς τὰς ὀργάς, ἄπικρον δὲ τῷ ἤθει 
-Z//1250a/43	καὶ ἀφιλόνεικον, ἔχοντα τὸ ἠρεμαῖον ἐν τῇ ψυχῇ καὶ 
-Z//1250a/44	στάσιμον. ἀνδρείας δ' ἐστὶ τὸ δυσέκπληκτον ὑπὸ φόβων 
-Z//1250a/45	τῶν περὶ θάνατον, καὶ τὸ εὐθαρσῆ ἐν τοῖς δεινοῖς, καὶ τὸ  
-Z//1250b/1	εὔτολμον πρὸς τοὺς κινδύνους, καὶ τὸ μᾶλλον αἱρεῖσθαι τε-
-Z//1250b/2	θνάναι καλῶς ἢ αἰσχρῶς σωθῆναι, καὶ τὸ νίκης αἴτιον 
-Z//1250b/3	εἶναι. ἔτι δὲ ἀνδρείας ἐστὶ καὶ τὸ πονεῖν καὶ καρτερεῖν καὶ 
-Z//1250b/4	αἱρεῖσθαι ἀνδραγαθίζεσθαι. παρέπεται δὲ τῇ ἀνδρείᾳ καὶ 
-Z//1250b/5	ἡ εὐτολμία καὶ ἡ εὐψυχία καὶ τὸ θάρσος καὶ τὸ θράσος, 
-Z//1250b/6	ἔτι δὲ καὶ ἡ φιλοπονία καὶ ἡ καρτερία. σωφροσύνης 
-Z//1250b/7	δ' ἐστὶ τὸ μὴ θαυμάζειν τὰς ἀπολαύσεις τῶν σωματικῶν 
-Z//1250b/8	ἡδονῶν, καὶ τὸ εἶναι πάσης ἀπολαύσεως αἰσχρᾶς ἡδονῆς 
-Z//1250b/9	ἀνόρεκτον, καὶ τὸ φοβεῖσθαι καὶ τὴν δικαίαν ἄδειαν, καὶ 
-Z//1250b/10	τὸ τετάσθαι περὶ τὸν βίον ὁμοίως ἔν τε μικροῖς καὶ μεγά-
-Z//1250b/11	λοις. παρέπεται δὲ τῇ σωφροσύνῃ εὐταξία, κοσμιότης, 
-Z//1250b/12	αἰδώς, εὐλάβεια. ἐγκρατείας δ' ἐστὶ τὸ δύνασθαι κα-
-Z//1250b/13	τασχεῖν τῷ λογισμῷ τὴν ἐπιθυμίαν ὁρμῶσαν ἐπὶ φαύλας 
-Z//1250b/14	ἀπολαύσεις καὶ ἡδονάς, καὶ τὸ καρτερεῖν, καὶ τὸ ὑπομο-
-Z//1250b/15	νητικὸν εἶναι τῆς κατὰ φύσιν ἐνδείας καὶ λύπης. δι-
-Z//1250b/16	καιοσύνης δ' ἐστὶ τὸ διανεμητικὸν εἶναι τοῦ κατ' ἀξίαν, καὶ 
-Z//1250b/17	σώζειν τὰ πάτρια ἔθη καὶ τὰ νόμιμα, καὶ τὸ σώζειν τοὺς 
-Z//1250b/18	γεγραμμένους νόμους, καὶ τὸ ἀληθεύειν ἐν τῷ διαφέροντι, 
-Z//1250b/19	καὶ τὸ διαφυλάττειν τὰς ὁμολογίας. ἔστι δὲ πρώτη τῶν 
-Z//1250b/20	δικαιοσυνῶν πρὸς τοὺς θεούς, εἶτα πρὸς δαίμονας, εἶτα πρὸς 
-Z//1250b/21	πατρίδα καὶ γονεῖς, εἶτα πρὸς τοὺς κατοιχομένους· ἐν οἷς 
[0086]  [045]  [VV]  []

-Z//1250b/22	ἐστὶν ἡ εὐσέβεια, ἤτοι μέρος οὖσα δικαιοσύνης ἢ παρακολου-
-Z//1250b/23	θοῦσα. ἀκολουθεῖ δὲ τῇ δικαιοσύνῃ καὶ ὁσιότης καὶ ἀλήθεια 
-Z//1250b/24	καὶ ἡ πίστις καὶ ἡ μισοπονηρία. ἐλευθεριότητος δ' ἐστὶ 
-Z//1250b/25	τὸ προετικὸν εἶναι χρημάτων εἰς τὰ ἐπαινετά, καὶ δα-
-Z//1250b/26	ψιλῆ ἐπὶ τῷ εἰς τὰ δέοντα ἀναλωθῆναι, καὶ τὸ βοηθητι-
-Z//1250b/27	κὸν εἶναι ἐν τῷ διαφόρῳ, καὶ τὸ μὴ λαβεῖν ὅθεν μὴ δεῖ. 
-Z//1250b/28	ἔστι δὲ ὁ ἐλευθέριος καὶ περὶ ἐσθῆτα καθαρὸς καὶ περὶ 
-Z//1250b/29	οἴκησιν, καὶ κατασκευαστικὸς τῶν περιττῶν καὶ καλῶν καὶ 
-Z//1250b/30	διαγωγὴν ἐχόντων ἡδεῖαν ἄνευ τοῦ λυσιτελοῦντος, καὶ θρε-
-Z//1250b/31	πτικὸς τῶν ζῴων τῶν ἴδιον ἐχόντων τι ἢ θαυμαστόν. ἀκο-
-Z//1250b/32	λουθεῖ δὲ τῇ ἐλευθεριότητι τοῦ ἤθους ὑγρότης καὶ εὐαγωγία 
-Z//1250b/33	καὶ φιλανθρωπία καὶ τὸ εἶναι ἐλεητικὸν καὶ φιλόφιλον 
-Z//1250b/34	καὶ φιλόξενον καὶ φιλόκαλον. μεγαλοψυχίας δ' ἐστὶ 
-Z//1250b/35	τὸ καλῶς ἐνεγκεῖν καὶ εὐτυχίαν καὶ ἀτυχίαν καὶ τιμὴν 
-Z//1250b/36	καὶ ἀτιμίαν, καὶ τὸ θαυμάζειν μήτε τρυφὴν μήτε θερα-
-Z//1250b/37	πείαν μήτε ἐξουσίαν μήτε τὰς νίκας τὰς ἐναγωνίους, ἔχειν 
-Z//1250b/38	δέ τι βάθος τῆς ψυχῆς καὶ μέγεθος. ἔστι δὲ μεγαλόψυ-
-Z//1250b/39	χος οὔθ' ὁ τὸ ζῆν περὶ πολλοῦ ποιούμενος οὔθ' ὁ φιλόζωος. 
-Z//1250b/40	ἁπλοῦς δὲ τῷ ἤθει καὶ γενναῖος, ἀδικεῖσθαι δυνάμενος, καὶ 
-Z//1250b/41	οὐ τιμωρητικός. ἀκολουθεῖ δὲ τῇ μεγαλοψυχίᾳ ἁπλότης 
-Z//1250b/42	καὶ ἀλήθεια. 
-Z//1250b/43	  Ἀφροσύνης δ' ἐστὶ τὸ κρίνειν κακῶς τὰ πράγματα, 
-Z//1250b/44	τὸ βουλεύσασθαι κακῶς, τὸ ὁμιλῆσαι κακῶς, τὸ χρήσα-
-Z//1250b/45	σθαι κακῶς τοῖς παροῦσιν ἀγαθοῖς, τὸ ψευδῶς δοξάζειν  
-Z//1251a/1	περὶ τῶν εἰς τὸν βίον καλῶν καὶ ἀγαθῶν. παρακολουθεῖ 
-Z//1251a/2	δὲ τῇ ἀφροσύνῃ ἀπειρία, ἀμαθία, ἀκρασία, ἐπαριστερότης, 
-Z//1251a/3	ἀμνημοσύνη. ὀργιλότητος δ' ἐστὶν εἴδη τρία, ἀκροχολία 
-Z//1251a/4	πικρία βαρυθυμία. ἔστι δὲ τοῦ ὀργίλου μὴ δύνασθαι φέρειν 
-Z//1251a/5	μήτε τὰς μικρὰς ὀλιγωρήσεις μήτε ἐλαττώσεις, εἶναι δὲ 
-Z//1251a/6	κολαστικὸν καὶ τιμωρητικὸν καὶ εὐκίνητον πρὸς ὀργὴν καὶ 
-Z//1251a/7	ὑπὸ ἔργου καὶ ὑπὸ λόγου τοῦ τυχόντος. ἀκολουθεῖ δὲ τῇ ὀρ-
-Z//1251a/8	γιλότητι τὸ παροξυντικὸν τοῦ ἤθους καὶ εὐμετάβολον, καὶ ἡ 
-Z//1251a/9	πικρολογία, καὶ τὸ ἐπὶ μικροῖς λυπεῖσθαι, καὶ τὸ ταῦτα 
-Z//1251a/10	πάσχειν ταχέως καὶ παρὰ βραχὺν καιρόν. δειλίας δ' 
-Z//1251a/11	ἐστὶ τὸ ὑπὸ τῶν τυχόντων φόβων εὐκίνητον εἶναι, καὶ μά-
-Z//1251a/12	λιστα τῶν περὶ θάνατον καὶ τὰς σωματικὰς πηρώσεις, καὶ 
-Z//1251a/13	τὸ ὑπολαμβάνειν κρεῖττον εἶναι ὁπωσοῦν σωθῆναι ἢ τελευ-
-Z//1251a/14	τῆσαι καλῶς. ἀκολουθεῖ δὲ τῇ δειλίᾳ μαλακία, ἀνανδρία, 
-Z//1251a/15	ἀπονία, φιλοψυχία. ὕπεστι δέ τις εὐλάβεια καὶ τὸ ἀφι-
-Z//1251a/16	λόνεικον τοῦ ἤθους. ἀκολασίας δ' ἐστὶ τὸ αἱρεῖσθαι τὰς 
-Z//1251a/17	ἀπολαύσεις τῶν ἡδονῶν τῶν βλαβερῶν καὶ αἰσχρῶν, καὶ 
-Z//1251a/18	τὸ ὑπολαμβάνειν εὐδαιμονεῖν μάλιστα τοὺς ἐν ταῖς τοιαύ-
-Z//1251a/19	ταις ἡδοναῖς ὄντας, καὶ τὸ φιλογέλοιον εἶναι καὶ τὸ φι-
-Z//1251a/20	λοσκώπτην καὶ φιλευτράπελον, καὶ τὸ ῥᾳδιουργὸν εἶναι ἐν 
-Z//1251a/21	τοῖς λόγοις καὶ ἐν τοῖς ἔργοις. ἀκολουθεῖ δὲ τῇ ἀκολασίᾳ 
-Z//1251a/22	ἀταξία, ἀναίδεια, ἀκοσμία, τρυφή, ῥᾳθυμία, ἀμέλεια, ὀλι-
-Z//1251a/23	γωρία, ἔκλυσις. ἀκρασίας δ' ἐστὶ τὸ κωλύοντος τοῦ λο-
-Z//1251a/24	γισμοῦ τὰς ἀπολαύσεις τῶν ἡδονῶν αἱρεῖσθαι, καὶ τὸ ὑπο-
-Z//1251a/25	λαμβάνοντα κρεῖττον εἶναι μὴ μετασχεῖν μὲν αὐτῶν, με-
-Z//1251a/26	τέχειν δὲ μηδὲν ἧττον, καὶ τὸ οἴεσθαι μὲν δεῖν πράττειν 
-Z//1251a/27	καὶ τὰ καλὰ καὶ τὰ συμφέροντα, ἀφίστασθαι δὲ αὐτῶν 
-Z//1251a/28	διὰ τὰς ἡδονάς. ἀκολουθεῖ δὲ τῇ ἀκρασίᾳ μαλακία καὶ 
-Z//1251a/29	μεταμέλεια καὶ τὰ πλεῖστα ταὐτὰ ἃ καὶ τῇ ἀκολασίᾳ. 
-Z//1251a/30	  ἀδικίας δ' ἐστὶν εἴδη τρία, ἀσέβεια πλεονεξία ὕβρις. 
-Z//1251a/31	ἀσέβεια μὲν ἡ περὶ θεοὺς πλημμέλεια καὶ περὶ δαίμονας ἢ 
-Z//1251a/32	καὶ περὶ τοὺς κατοιχομένους, καὶ περὶ γονεῖς καὶ περὶ πα-
-Z//1251a/33	τρίδα· πλεονεξία δὲ περὶ τὰ συμβόλαια, παρὰ τὴν ἀξίαν 
-Z//1251a/34	αἱρουμένη τὸ διάφορον· ὕβρις δέ, καθ' ἣν τὰς ἡδονὰς αὑτοῖς 
-Z//1251a/35	παρασκευάζουσιν, εἰς ὄνειδος ἀγαγόντες ἑτέρους, ὅθεν Εὔηνος 
-Z//1251a/36	περὶ αὐτῆς λέγει “ἥτις κερδαίνους' οὐδὲν ὅμως ἀδικεῖ.” ἔστι 
-Z//1251a/37	δὲ τῆς ἀδικίας τὸ παραβαίνειν τὰ πάτρια ἔθη καὶ τὰ νό-
-Z//1251a/38	μιμα, καὶ τὸ ἀπειθεῖν τοῖς νόμοις καὶ τοῖς ἄρχουσι, τὸ  
-Z//1251b/1	ψεύδεσθαι, τὸ ἐπιορκεῖν, τὸ παραβαίνειν τὰς ὁμολογίας 
-Z//1251b/2	καὶ τὰς πίστεις. ἀκολουθεῖ δὲ τῇ ἀδικίᾳ συκοφαντία, ἀλα-
-Z//1251b/3	ζονεία, φιλανθρωπία προσποίητος, κακοήθεια, πανουργία. 
-Z//1251b/4	ἀνελευθερίας δ' ἐστὶν εἴδη τρία, αἰσχροκερδία φειδωλία 
-Z//1251b/5	κιμβεία. αἰσχροκερδία μέν, καθ' ἣν κερδαίνειν ζητοῦσι 
-Z//1251b/6	πανταχόθεν, καὶ τὸ κέρδος τῆς αἰσχύνης περὶ πλείονος 
-Z//1251b/7	ποιοῦνται· φειδωλία δ' ἐστὶ καθ' ἣν ἀδάπανοι γίνονται τῶν 
-Z//1251b/8	χρημάτων εἰς τὸ δέον· κιμβεία δ' ἐστὶ καθ' ἣν δαπανῶσι 
-Z//1251b/9	μέν, κατὰ μικρὸν δὲ καὶ κακῶς, καὶ πλέον βλάπτονται 
-Z//1251b/10	τῷ μὴ κατὰ καιρὸν ποιεῖσθαι τὸ διάφορον. ἔστι δὲ τῆς 
-Z//1251b/11	ἀνελευθερίας τὸ περὶ πλείστου ποιεῖσθαι χρήματα, καὶ τὸ 
-Z//1251b/12	μηδὲν ὄνειδος ἡγεῖσθαι τῶν ποιούντων τὸ κέρδος, βίος θητι-
-Z//1251b/13	κὸς καὶ δουλοπρεπὴς καὶ ῥυπαρός, φιλοτιμίας καὶ ἐλευθε-
-Z//1251b/14	ρίας ἀλλότριος. ἀκολουθεῖ δὲ τῇ ἀνελευθεριότητι μικρολο-
-Z//1251b/15	γία, βαρυθυμία καὶ μικροψυχία, ταπεινότης, ἀμετρία, 
-Z//1251b/16	ἀγένεις, μισανθρωπία. μικροψυχίας δ' ἐστὶ τὸ μήτε 
-Z//1251b/17	τιμὴν μήτε ἀτιμίαν μήτε εὐτυχίαν μήτε ἀτυχίαν δύνα-
-Z//1251b/18	σθαι φέρειν, ἀλλὰ τιμώμενον μὲν χαυνοῦσθαι, μικρὰ δὲ 
-Z//1251b/19	εὐτυχήσαντα ὑπεξαίρεσθαι, ἀτιμίαν δὲ μηδὲ τὴν ἐλαχί-
-Z//1251b/20	στην ἐνεγκεῖν δύνασθαι, ἀπότευγμα δ' ἄτην καὶ ἀτυχίαν 
-Z//1251b/21	κρίνειν μεγάλην, ὀδύρεσθαι δ' ἐπὶ πᾶσι καὶ δυσφορεῖν. 
-Z//1251b/22	ἔτι δὲ τοιοῦτός ἐστιν ὁ μικρόψυχος οἷος πάντα τὰ ὀλιγω-
-Z//1251b/23	ρήματα καλεῖν ὕβριν καὶ ἀτιμίαν, καὶ τὰ δι' ἄγνοιαν ἢ 
-Z//1251b/24	λήθην γιγνόμενα. ἀκολουθεῖ δὲ τῇ μικροψυχίᾳ μικρολο-
-Z//1251b/25	γία, μεμψιμοιρία, δυσελπιστία, ταπεινότης. 
-Z//1251b/26	  Καθόλου δὲ τῆς μὲν ἀρετῆς ἐστὶ τὸ ποιεῖν σπουδαίαν 
-Z//1251b/27	τὴν διάθεσιν περὶ τὴν ψυχήν, ἠρεμαίαις καὶ τεταγμέναις 
-Z//1251b/28	κινήσεσι χρωμένην, συμφωνοῦσαν κατὰ πάντα τὰ μέρη· 
-Z//1251b/29	διὸ καὶ δοκεῖ παράδειγμα πολιτείας ἀγαθῆς εἶναι ψυχῆς 
-Z//1251b/30	σπουδαία διάθεσις. ἔστι δὲ ἀρετῆς καὶ τὸ εὐεργετεῖν τοὺς 
-Z//1251b/31	ἀξίους, καὶ τὸ φιλεῖν τοὺς ἀγαθούς, καὶ τὸ μήτε κολαστικὸν 
-Z//1251b/32	εἶναι μήτε τιμωρητικόν, ἀλλὰ ἵλεων καὶ εὐμενικὸν καὶ 
-Z//1251b/33	συγγνωμονικόν. ἀκολουθεῖ δὲ τῇ ἀρετῇ χρηστότης, ἐπιείκεια, 
-Z//1251b/34	εὐγνωμοσύνη, ἐλπὶς ἀγαθή. ἔτι δὲ καὶ τὰ τοιαῦτα οἷον 
-Z//1251b/35	φίλοικον εἶναι καὶ φιλόφιλον, φιλέταιρον, φιλόξενον, φι-
-Z//1251b/36	λάνθρωπον καὶ φιλόκαλον· ἃ δὴ πάντα τῶν ἐπαινουμένων 
-Z//1251b/37	ἐστίν. τῆς δὲ κακίας ἐστὶ τὰ ἐναντία.  
