
[0086]  [048]  [Divis]  []

-Z//1col1/8	1. 
-Z//1col1/9	  τῶν ἀγαθῶν ἔστι τὰ μὲν 
-Z//1col1/10	ἐν ψυχῇ, τὰ δὲ ἐν σώματι, 
-Z//1col1/11	τὰ δὲ ἐκτός· οἷον ἡ μὲν δι-
-Z//1col1/12	καιοσύνη καὶ ἡ φρόνησις καὶ 
-Z//1col1/13	ἡ ἀνδρεία καὶ ἡ σωφροσύνη  
-Z//2col1/1	καὶ τὰ τοιαῦτα ἐν ψυχῇ τὸ 
-Z//2col1/2	δὲ κάλλος καὶ ἡ εὐεξία καὶ 
-Z//2col1/3	ἡ ὑγίεια καὶ ἡ ἰσχὺς ἐν σώ-
-Z//2col1/4	ματι· οἱ δὲ φίλοι καὶ ἡ τῆς 
-Z//2col1/5	πατρίδος εὐδαιμονία καὶ ὁ 
-Z//2col1/6	πλοῦτος ἐν τοῖς ἐκτός. τῶν 
-Z//2col1/7	ἀγαθῶν ἄρα τρία εἴδη ἐστί· 
-Z//2col1/8	τὰ μὲν ἐν ψυχῇ, τὰ δὲ ἐν 
-Z//2col1/9	σώματι, τὰ δὲ ἐκτός. 
-Z//2col1/10	2. 
-Z//2col1/11	  τῆς φιλίας τρία εἴδη ἐστίν· 
-Z//2col1/12	ἡ μὲν γὰρ αὐτῆς ἐστι φυσική, 
-Z//2col1/13	ἡ δὲ ἑταιρική, ἡ δὲ ξενική.  
-Z//3col1/1	φυσικὴν μὲν οὖν ταύτην λέ-
-Z//3col1/2	γομεν, ἣν οἱ γονεῖς πρὸς τὰ 
-Z//3col1/3	ἔκγονα ἔχουσι καὶ οἱ συγγε-
-Z//3col1/4	νεῖς πρὸς ἀλλήλους· ταύτην 
-Z//3col1/5	δὲ κεκλήρωται καὶ τἆλλα ζῷα. 
-Z//3col1/6	ἑταιρικὴν δὲ καλοῦμεν τὴν 
-Z//3col1/7	ἀπὸ συνηθείας γινομένην καὶ 
-Z//3col1/8	μηδὲν προσήκουσαν γένει, 
-Z//3col1/9	ἀλλ' οἷον ἡ Πυλάδου πρὸς 
-Z//3col1/10	Ὀρέστην. ἡ δὲ ξενικὴ φιλία ἡ 
-Z//3col1/11	ἀπὸ συστάσεως καὶ διὰ γραμ-
-Z//3col1/12	μάτων γινομένη πρὸς τοὺς 
-Z//3col1/13	ξένους. τῆς ἄρα φιλίας ἡ μέν 
-Z//3col1/14	ἐστι φυσική, ἡ δὲ ἑταιρική, 
-Z//3col1/15	ἡ δὲ ξενική· προστιθέασι δέ 
-Z//3col1/16	τινες τετάρτην ἐρωτικήν.  
-Z//4col1/1	3. 
-Z//4col1/2	  τῆς πολιτείας ἐστὶν εἴδη 
-Z//4col1/3	πέντε· τὸ μὲν γὰρ αὐτῆς ἐστι 
